Dem_Desc,year,total.earnings,farm.earnings,index.farm.earnings,index.total.earnings,pct.farm.earnings,farm.emp,total.emp
Entirely urban,2004,111878514000,308216000,0.9691796575517506,0.12924685552100895,0.0027549168198640894,11981,2228387
Entirely urban,2005,114906331000,340274000,1.1739969332992588,0.15980815548914273,0.002961316378642357,11890,2269571
Entirely urban,2006,118879671000,322200000,1.058522872476361,0.1999131009384168,0.0027103035976605286,11230,2305528
Entirely urban,2007,125211025000,319131000,1.038915154612829,0.26381868334265185,0.0025487452083392814,11193,2338461
Entirely urban,2008,127305802000,410960000,1.6256069511883466,0.2849623351100299,0.003228132524549038,10681,2331167
Entirely urban,2009,120518092000,260811000,0.6663110145668285,0.21645051903703033,0.0021640817214397985,11420,2258713
Entirely urban,2010,124721226000,357958000,1.2869792997699974,0.25887489243220646,0.0028700647955465096,11269,2251867
Entirely urban,2011,131652299000,513167000,2.278603373370815,0.32883374432253965,0.0038978962304334693,10684,2301219
Entirely urban,2012,138872571000,686489000,3.385950677229747,0.40171162909679026,0.004943301582570975,10580,2331351
Entirely urban,2013,143337460000,571707000,2.6526130845898286,0.44677802909831643,0.003988538655561498,10358,2372681
Entirely urban,2014,150389501000,367223000,1.3461730130334781,0.5179578726584054,0.0024418127432978185,9882,2411633
Entirely urban,2015,157264319000,308790000,0.9728469205213391,0.5873489141659752,0.0019635095994025194,10296,2459972
Entirely urban,2016,162187052000,138689000,-0.11392154357270637,0.6370365669785565,8.551175836157377e-4,9863,2497189
Entirely urban,2017,168688365000,246154000,0.5726680296447738,0.7026576321815485,0.0014592233435898202,9521,2540669
Entirely urban,2018,176477012000,218226000,0.3942371581906466,0.7812724154768749,0.0012365689872401058,9593,2583932
Minnesota,2001,131679344000,1029219000,0,0,0.0078161006026883,NA,NA
Minnesota,2002,135128152000,1017896000,-0.011001545832325288,0.026190956722870674,0.007532819659962492,NA,NA
Minnesota,2003,141146500000,1847095000,0.7946569194700059,0.07189552827662933,0.013086367710145133,NA,NA
Minnesota,2004,150987628000,2470627000,1.4004871655109359,0.14663107677693168,0.016363108903200994,NA,NA
Minnesota,2005,154969728000,2941668000,1.8581555528998202,0.17687196254562143,0.01898221051275253,NA,NA
Minnesota,2006,159588573000,2553230000,1.4807451086697778,0.2119484207029464,0.01599882718419946,NA,NA
Minnesota,2007,167175577000,2631792000,1.5570767737478612,0.26956568829808264,0.015742682317764635,NA,NA
Minnesota,2008,171922227000,3970212000,2.8574997158039253,0.30561272389084804,0.02309306986815614,NA,NA
Minnesota,2009,162791441000,2121024000,1.0608092155313884,0.23627165852223564,0.013029087935894615,NA,NA
Minnesota,2010,169682909000,3140158000,2.0510105235134604,0.2886068827924902,0.018506035867171512,NA,NA
Minnesota,2011,179683799000,4300155000,3.178075803108959,0.36455569675377486,0.02393179031126785,NA,NA
Minnesota,2012,190181389000,5977017000,4.807332550215261,0.44427655259278936,0.03142798057910914,NA,NA
Minnesota,2013,195260585000,5613071000,4.453718790655827,0.4828490108516944,0.028746564494826234,NA,NA
Minnesota,2014,202625339000,3628734000,2.525716101237929,0.5387784662718247,0.017908589408948503,NA,NA
Minnesota,2015,211003037000,3180010000,2.0897311456551035,0.6024004265999381,0.015070920519499442,NA,NA
Minnesota,2016,215200116000,1335979000,0.2980512407952049,0.6342739070753572,0.006208077508657105,NA,NA
Minnesota,2017,223244047000,1850163000,0.7976378205221629,0.695361172212401,0.008287625246284843,NA,NA
Minnesota,2018,233117230000,1852217000,0.7996335085147087,0.7703401529703854,0.00794543157534945,NA,NA
Town/rural mix,2001,12961624000,424461000,0,0,0.032747516823509154,40608,476695
Town/rural mix,2002,13630541000,449122000,0.058099566273462105,0.05160749918374426,0.032949682628151004,36830,475642
Town/rural mix,2003,14564998000,777588000,0.8319421572299929,0.12370162874652127,0.05338744296429014,36134,475612
Town/rural mix,2004,15985655000,1129844000,1.6618323002584454,0.2333064899892174,0.070678617798269755,34874,479912
Town/rural mix,2005,16423763000,1377688000,2.245735179439336,0.2671068841373581,0.08388382126556503,34888,485909
Town/rural mix,2006,16456543000,1136444000,1.6773814319807945,0.2696358882189454,0.06905727405810565,33521,488100
Town/rural mix,2007,16822449000,1156691000,1.7250819274326734,0.2978658384165441,0.0687587758476783,33835,491974
Town/rural mix,2008,17986659000,1712457000,3.03442719119071,0.3876856017424977,0.09520706430249219,32779,490274
Town/rural mix,2009,17020617000,969182000,1.2833240274135904,0.3131546633353969,0.05694164906007814,34441,479106
Town/rural mix,2010,18102036000,1423451000,2.353549560501436,0.39658703261258005,0.07863485632223911,34201,475397
Town/rural mix,2011,19365741000,1946653000,3.5861763507130218,0.49408291738751253,0.1005204500049856,32997,479201
Town/rural mix,2012,20808559000,2600298000,5.126117593842544,0.6053975180887827,0.12496290588887006,32807,481100
Town/rural mix,2013,20964573000,2482205000,4.847898864677791,0.6174341270816064,0.11839997885957419,32366,483530
Town/rural mix,2014,20757279000,1631874000,2.8445793606479746,0.6014412237232001,0.07861695167271202,31029,486819
Town/rural mix,2015,21389320000,1429609000,2.3680573715841975,0.6502037090413979,0.06683751517112278,31814,489132
Town/rural mix,2016,20833316000,505152000,0.19010227088001017,0.6073075410920731,0.024247316173767058,30687,486553
Town/rural mix,2017,21482741000,704878000,0.6606425560887809,0.6574112163722694,0.032811362386205745,29772,486828
Town/rural mix,2018,22389123000,796873000,0.877376248936887,0.7273393364905508,0.03559197026163106,29893,491097
Urban/town/rural mix,2001,18346408000,313993000,0,0,0.01711468533786014,36568,613641
Urban/town/rural mix,2002,19301130000,278339000,-0.1135503020767979,0.05203863339352314,0.014420865514091661,33199,617738
Urban/town/rural mix,2003,20173926000,552803000,0.7605583563964802,0.09961176051464679,0.027401855246222278,32635,617337
Urban/town/rural mix,2004,21472696000,758267000,1.414916893051756,0.1704032745810515,0.03531307852539802,31539,625730
Urban/town/rural mix,2005,21912222000,876373000,1.7910590363479442,0.1943603347314635,0.0399947116271458,31630,636321
Urban/town/rural mix,2006,22517478000,777970000,1.4776666995761052,0.2273507707884835,0.03454960631026263,30403,645939
Urban/town/rural mix,2007,23337111000,791545000,1.5209001474555166,0.27202616446772576,0.033917865840377585,30724,653888
Urban/town/rural mix,2008,24548342000,1239224000,2.9466612313013347,0.33804622681453506,0.05048096527252227,29819,649278
Urban/town/rural mix,2009,23437875000,585951000,0.8661275888315981,0.2775184657399966,0.025000175997184047,31672,631398
Urban/town/rural mix,2010,24845310000,936682000,1.9831301971700006,0.35423293758647467,0.03770055596005846,31582,626626
Urban/town/rural mix,2011,26528542000,1341080000,3.2710506285171963,0.44598016134820506,0.050552344716117456,30510,634433
Urban/town/rural mix,2012,27953625000,1830412000,4.8294675359004815,0.5236565653614593,0.06548030890448019,30502,638826
Urban/town/rural mix,2013,28257855000,1564198000,3.981633348514139,0.5402391029350269,0.055354449231903836,30019,645819
Urban/town/rural mix,2014,29230439000,1158651000,2.6900535999210176,0.5932513329039668,0.03963850833714814,28756,651298
Urban/town/rural mix,2015,29987723000,926685000,1.9512919077813837,0.6345282956750989,0.03090214618829179,29675,659404
Urban/town/rural mix,2016,30032002000,412103000,0.3124591949502059,0.6369417926386463,0.013722128814455992,28551,660979
Urban/town/rural mix,2017,30947477000,689549000,1.1960648804272707,0.6868412061914245,0.022281267064193956,27679,662928
Urban/town/rural mix,2018,31990151000,560223000,0.7841894564528509,0.7436738025230879,0.01751235872565903,27816,666976
