YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER ,
2008,3111 ANIMAL FOOD MANUFACTURING,"$328,302,649","$2,479,132","$161,146","$55,022","$216,168", 41 ,
2008,3112 GRAIN & OILSEED MILLING,"$181,031,305","$3,040,994","$197,666","$691,693","$889,359", 16 ,
2008,3113 SUGAR & CONFECTIONERY PRODUCT MANUFACTURING,"$168,583,820","$16,066,167","$1,044,313","$602,319","$1,646,632", 128 ,
2008,3114 FRUIT & VEGETABLE PRESERVING & SPECIALTY FOOD MANUFACTURING,"$736,957,296","$399,962","$25,997","$885,227","$911,224", 30 ,
2008,3115 DAIRY PRODUCT MANUFACTURING,"$1,132,005,444","$259,221","$16,848","$587,985","$604,833", 22 ,
2008,3116 ANIMAL SLAUGHTERING & PROCESSING,"$659,133,736","$1,073,763","$69,794","$755,838","$825,632", 33 ,
2008,3118 BAKERIES & TORTILLA MANUFACTURING,"$273,186,507","$42,953,625","$2,792,583","$170,674","$2,963,257", 119 ,
2008,3119 OTHER FOOD MANUFACTURING,"$359,379,327","$7,745,683","$505,567","$562,026","$1,067,593", 67 ,
2008,3121 BEVERAGE MANUFACTURING,"$232,597,326","$8,667,834","$608,340","$310,852","$919,192", 50 ,
2008,3130 TEXTILE MILLS,"$53,723,672","$3,408,052","$221,526","$1,423","$222,949", 43 ,
2008,3132 FABRIC MILLS,"$9,960,539","$92,148","$5,989","$24,321","$30,310", 6 ,
2008,"3133 TEXTILE, FABRIC FINISHING & FABRIC COATING MILLS","$11,149,524","$300,214","$19,514",$431,"$19,945", 14 ,
2008,3140 TEXTILE PRODUCT MILLS,"$21,051,444","$462,308","$30,052",$145,"$30,197", 13 ,
2008,3141 TEXTILE FURNISHINGS MILLS,"$26,428,091","$8,590,828","$558,402","$5,807","$564,209", 48 ,
2008,3149 OTHER TEXTILE PRODUCT MILLS,"$140,296,838","$4,412,074","$286,780","$77,423","$364,203", 148 ,
2008,3150 APPAREL MANUFACTURING,"$44,643,587","$6,152,090","$399,885","$13,307","$413,192", 77 ,
2008,3151 APPAREL KNITTING MILLS,"$1,153,815","$1,760",$114,"$1,240","$1,354", 4 ,
2008,3152 CUT & SEW APPAREL MANUFACTURING,"$45,259,399","$2,072,277","$134,702","$21,347","$156,049", 96 ,
2008,3159 APPAREL ACCESSORIES & OTHER APPAREL MANUFACTURING,"$210,336,851","$897,142","$58,315","$7,914","$66,229", 55 ,
2008,3160 LEATHER & ALLIED PRODUCT MANUFACTURING,"$23,288,981","$9,059,904","$588,891","$102,307","$691,198", 18 ,
2008,3161 LEATHER & HIDE TANNING & FINISHING,"$4,046,212","$11,284",$733,"$69,202","$69,935", 7 ,
2008,3162 FOOTWEAR MANUFACTURING,"$10,695,882","$116,068","$7,545","$3,845","$11,390", 5 ,
2008,3169 OTHER LEATHER & ALLIED PRODUCT MANUFACTURING,"$4,140,193","$1,218,678","$79,213",$875,"$80,088", 45 ,
2008,3210 WOOD PRODUCT MANUFACTURING,"$967,178,299","$138,018,439","$8,971,195","$748,512","$9,719,707", 371 ,
2008,3211 SAWMILLS & WOOD PRESERVATION,"$32,377,193","$1,735,968","$112,844","$2,525","$115,369", 42 ,
2008,"3212 VENEER, PLYWOOD, & ENGINEERED WOOD PRODUCT MANUFACTURING","$149,801,216","$16,295,830","$1,059,221","$310,742","$1,369,963", 54 ,
2008,3219 OTHER WOOD PRODUCT MANUFACTURING,"$1,381,290,586","$80,621,886","$5,218,898","$1,041,463","$6,260,361", 296 ,
2008,3220 PAPER MANUFACTURING,"$1,170,966,501","$45,778,837","$2,975,621","$16,567,822","$19,543,443", 70 ,
2008,"3221 PULP, PAPER, & PAPERBOARD MILLS","$1,264,453,208","$5,381,485","$349,798","$1,718,127","$2,067,925", 14 ,
2008,3222 CONVERTED PAPER PRODUCT MANUFACTURING,"$990,711,499","$14,922,495","$969,971","$832,532","$1,802,503", 90 ,
2008,3230 PRINTING & RELATED SUPPORT ACTIVITIES,"$2,661,808","$1,368,292","$88,940","$2,884","$91,824", 5 ,
2008,3231 PRINTING & RELATED SUPPORT ACTIVITIES,"$3,542,849,244","$471,325,889","$30,636,292","$3,685,079","$34,321,371"," 1,283 ",
2008,3240 PETROLEUM & COAL PRODUCTS MANUFACTURING,"$117,976,371","$101,375,381","$6,589,404","$8,443,834","$15,033,238", 20 ,
2008,3241 PETROLEUM & COAL PRODUCTS MANUFACTURING,"$695,941,533","$138,939,198","$9,031,046","$109,928","$9,140,974", 32 ,
2008,3250 CHEMICAL MANUFACTURING,"$1,865,812,986","$36,521,237","$2,373,885","$366,470","$2,740,355", 150 ,
2008,3251 BASIC CHEMICAL MANUFACTURING,"$467,630,963","$5,165,256","$335,745","$196,044","$531,789", 41 ,
2008,"3252 RESIN, SYNTHETIC RUBBER, & ARTIFICIAL SYNTHETIC FIBERS & FILAMENTS MANUFACTURING","$25,434,021","$1,098,846","$71,424","$16,006","$87,430", 10 ,
2008,"3253 PESTICIDE, FERTILIZER, & OTHER AGRICULTURAL CHEMICAL MANUFACTURING","$494,777,948","$951,457","$61,841","$14,067","$75,908", 14 ,
2008,3254 PHARMACEUTICAL & MEDICINE MANUFACTURING,"$1,056,693,413","$1,770,096","$115,054","$770,181","$885,235", 45 ,
2008,"3255 PAINT, COATING, & ADHESIVE MANUFACTURING","$48,140,145","$5,140,635","$334,144","$16,851","$350,995", 26 ,
2008,"3256 SOAP, CLEANING COMPOUND, & TOILET PREPARATION MANUFACTURING","$160,801,486","$27,901,215","$1,813,578","$430,588","$2,244,166", 67 ,
2008,3259 OTHER CHEMICAL PRODUCT & PREPARATION MANUFACTURING,"$494,809,815","$16,609,660","$1,079,638","$442,427","$1,522,065", 76 ,
2008,3260 PLASTICS & RUBBER PRODUCTS MANUFACTURING,"$810,880,957","$61,018,930","$3,966,236","$637,209","$4,603,445", 162 ,
2008,3261 PLASTICS PRODUCT MANUFACTURING,"$1,626,944,353","$23,930,055","$1,555,457","$976,572","$2,532,029", 231 ,
2008,3262 RUBBER PRODUCT MANUFACTURING,"$334,542,044","$14,616,530","$950,076","$169,027","$1,119,103", 40 ,
2008,3270 NONMETALLIC MINERAL PRODUCT MANUFACTURING,"$569,412,291","$65,855,032","$4,280,572","$1,807,787","$6,088,359", 158 ,
2008,3271 CLAY PRODUCT & REFRACTORY MANUFACTURING,"$44,418,537","$11,011,899","$715,766","$37,398","$753,164", 60 ,
2008,3272 GLASS & GLASS PRODUCT MANUFACTURING,"$119,381,370","$6,892,765","$448,034","$100,388","$548,422", 55 ,
2008,3273 CEMENT & CONCRETE PRODUCT MANUFACTURING,"$811,036,558","$449,559,268","$29,221,357","$860,631","$30,081,988", 140 ,
2008,3279 OTHER NONMETALLIC MINERAL PRODUCT MANUFACTURING,"$93,149,511","$16,196,502","$1,052,775","$414,127","$1,466,902", 37 ,
2008,3310 PRIMARY METAL MANUFACTURING,"$326,885,054","$30,618,539","$1,990,205","$450,397","$2,440,602", 46 ,
2008,3311 IRON & STEEL MILLS & FERROALLOY MANUFACTURING,"$80,252,843","$1,354,418","$88,042","$34,558","$122,600", 17 ,
2008,3312 STEEL PRODUCT MANUFACTURING FROM PURCHASED STEEL,"$275,309,776","$17,078,101","$1,110,089","$125,689","$1,235,778", 49 ,
2008,3313 ALUMINA & ALUMINUM PRODUCTION & PROCESSING,"$401,499,436","$470,246","$30,565","$26,748","$57,313", 7 ,
2008,3314 NONFERROUS METAL (EXCEPT ALUMINUM) PRODUCTION & PROCESSING,"$207,445,308","$372,637","$24,222","$47,287","$71,509", 11 ,
2008,3315 FOUNDRIES,"$517,072,029","$970,538","$63,086","$717,913","$780,999", 30 ,
2008,3320 FABRICATED METAL PRODUCT MANUFACTURING,"$1,845,505,957","$153,580,573","$9,982,756","$2,159,905","$12,142,661", 633 ,
2008,3321 FORGING & STAMPING,"$315,969,990","$802,021","$52,132","$256,804","$308,936", 60 ,
2008,3322 CUTLERY & HANDTOOL MANUFACTURING,"$129,803,079","$2,599,576","$168,973","$82,286","$251,259", 37 ,
2008,3323 ARCHITECTURAL & STRUCTURAL METALS MANUFACTURING,"$1,019,556,090","$193,486,799","$12,576,648","$3,274,527","$15,851,175", 220 ,
2008,"3324 BOILER, TANK, & SHIPPING CONTAINER MANUFACTURING","$157,781,563","$11,980,612","$778,743","$282,541","$1,061,284", 26 ,
2008,3325 HARDWARE MANUFACTURING,"$59,694,272","$2,891,424","$187,942","$353,527","$541,469", 19 ,
2008,3326 SPRING & WIRE PRODUCT MANUFACTURING,"$42,241,548","$5,014,339","$325,934","$107,690","$433,624", 13 ,
2008,"3327 MACHINE SHOPS; TURNED PRODUCT; & SCREW, NUT, & BOLT MANUFACTURING","$795,810,673","$16,819,629","$1,093,279","$695,576","$1,788,855", 307 ,
2008,"3328 COATING, ENGRAVING, HEAT TREATING, & ALLIED ACTIVITIES","$197,767,527","$1,739,291","$113,051","$224,144","$337,195", 85 ,
2008,3329 OTHER FABRICATED METAL PRODUCT MANUFACTURING,"$1,991,504,659","$119,741,602","$7,783,210","$1,548,171","$9,331,381", 400 ,
2008,3330 MACHINERY MANUFACTURING,"$2,413,264,367","$262,933,508","$17,090,682","$4,378,680","$21,469,362", 529 ,
2008,"3331 AGRICULTURE, CONSTRUCTION, & MINING MACHINERY MANUFACTURING","$1,033,968,917","$24,323,076","$1,580,996","$608,752","$2,189,748", 98 ,
2008,3332 INDUSTRIAL MACHINERY MANUFACTURING,"$590,275,752","$98,105,211","$6,376,848","$938,688","$7,315,536", 173 ,
2008,3333 COMMERCIAL & SERVICE INDUSTRY MACHINERY MFG,"$690,150,324","$51,823,484","$3,368,531","$714,535","$4,083,066", 100 ,
2008,"3334 VENTILATION, HEATING, AIR-CONDITIONING, & COMMERCIAL REFRIGERATION EQUIPMENT MANUFACTURING","$347,926,403","$24,489,370","$1,591,809","$493,271","$2,085,080", 57 ,
2008,3335 METALWORKING MACHINERY MANUFACTURING,"$314,859,343","$23,204,670","$1,508,301","$457,469","$1,965,770", 114 ,
2008,"3336 ENGINE, TURBINE, & POWER TRANSMISSION EQUIPMENT MANUFACTURING","$96,394,009","$21,742,105","$1,413,237","$68,182","$1,481,419", 22 ,
2008,3339 OTHER GENERAL PURPOSE MACHINERY MANUFACTURING,"$1,009,927,868","$65,887,441","$4,282,690","$1,161,292","$5,443,982", 258 ,
2008,3340 COMPUTER & ELECTRONIC PRODUCT MANUFACTURING,"$948,370,788","$28,898,860","$1,878,429","$646,672","$2,525,101", 107 ,
2008,3341 COMPUTER & PERIPHERAL EQUIPMENT MANUFACTURING,"$1,529,155,389","$171,577,695","$11,152,557","$1,912,074","$13,064,631", 78 ,
2008,3342 COMMUNICATIONS EQUIPMENT MANUFACTURING,"$132,878,953","$11,820,990","$768,369","$50,791","$819,160", 65 ,
2008,3343 AUDIO & VIDEO EQUIPMENT MANUFACTURING,"$43,874,570","$4,674,338","$303,830","$16,126","$319,956", 24 ,
2008,3344 SEMICONDUCTOR & OTHER ELECTRONIC COMPONENT MANUFACTURING,"$1,206,253,112","$106,920,282","$6,949,825","$2,577,295","$9,527,120", 95 ,
2008,"3345 NAVIGATIONAL, MEASURING, ELECTROMEDICAL, & CONTROL INSTRUMENTS MANUFACTURING","$1,078,991,519","$31,409,296","$2,041,617","$2,858,222","$4,899,839", 149 ,
2008,3346 MANUFACTURING & REPRODUCING MAGNETIC & OPTICAL    MEDIA,"$28,911,312","$4,362,293","$283,553","$158,797","$442,350", 23 ,
2008,"3350 ELECTRICAL EQUIPMENT, APPLIANCE, & COMPONENT MANUFACTURING","$3,603,393,017","$193,822,080","$12,598,427","$5,950,841","$18,549,268", 335 ,
2008,3351 ELECTRIC LIGHTING EQUIPMENT MANUFACTURING,"$75,737,488","$3,851,126","$250,330","$14,091","$264,421", 24 ,
2008,3352 HOUSEHOLD APPLIANCE MANUFACTURING,"$47,424,261","$2,510,312","$163,178","$13,180","$176,358", 15 ,
2008,3353 ELECTRICAL EQUIPMENT MANUFACTURING,"$213,044,786","$14,705,234","$955,836","$190,931","$1,146,767", 68 ,
2008,3359 OTHER ELECTRICAL EQUIPMENT & COMPONENT MFG,"$463,851,834","$42,060,300","$2,733,923","$354,397","$3,088,320", 121 ,
2008,3360 TRANSPORTATION EQUIPMENT MANUFACTURING,"$2,300,335,270","$15,012,835","$975,834","$476,639","$1,452,473", 69 ,
2008,3361 MOTOR VEHICLE MANUFACTURING,"$63,901,136","$2,591,319","$168,441","$630,442","$798,883", 12 ,
2008,3362 MOTOR VEHICLE BODY & TRAILER MANUFACTURING,"$112,283,870","$16,093,988","$1,046,101","$30,563","$1,076,664", 32 ,
2008,3363 MOTOR VEHICLE PARTS MANUFACTURING,"$360,813,643","$2,718,573","$176,701","$269,796","$446,497", 44 ,
2008,3364 AEROSPACE PRODUCT & PARTS MANUFACTURING,"$378,385,295","$4,121,947","$267,929","$42,155","$310,084", 18 ,
2008,3366 SHIP & BOAT BUILDING,"$328,293,013","$1,515,955","$98,540","$45,259","$143,799", 12 ,
2008,3369 OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,"$59,382,779","$3,274,798","$212,864","$40,922","$253,786", 41 ,
2008,3370 FURNITURE & RELATED PRODUCT MANUFACTURING,"$390,818,103","$70,666,798","$4,593,347","$220,524","$4,813,871", 306 ,
2008,3371 HOUSEHOLD & INSTITUTIONAL FURNITURE & KITCHEN CABINET MANUFACTURING,"$313,825,439","$37,440,862","$2,433,658","$929,208","$3,362,866", 213 ,
2008,3372 OFFICE FURNITURE (INCLUDING FIXTURES) MANUFACTURING,"$192,706,954","$30,216,028","$1,964,033","$84,851","$2,048,884", 77 ,
2008,3379 OTHER FURNITURE RELATED PRODUCT MANUFACTURING,"$49,726,877","$1,530,129","$99,456","$41,817","$141,273", 8 ,
2008,3390 MISCELLANEOUS MANUFACTURING,"$4,420,015,650","$218,607,684","$14,203,285","$3,983,283","$18,186,568"," 1,003 ",
2008,3391 MEDICAL EQUIPMENT & SUPPLIES MANUFACTURING,"$2,212,837,472","$27,984,294","$1,818,964","$9,755,622","$11,574,586", 302 ,
2008,3399 OTHER MISCELLANEOUS MANUFACTURING,"$1,451,289,795","$143,659,758","$9,342,062","$1,798,278","$11,140,340"," 1,178 ",
2008,4231 MOTOR VEHICLE & MOTOR VEHICLE PARTS & SUPPLIES MERCHANT WHOLESALERS,"$3,341,971,467","$151,705,626","$10,180,217","$382,380","$10,562,597", 408 ,
2008,4232 FURNITURE & HOME FURNISHING MERCHANT WHOLESALERS,"$289,830,210","$84,824,361","$5,513,575","$202,416","$5,715,991", 202 ,
2008,4233 LUMBER & OTHER CONSTRUCTION MATERIALS MERCHANT WHOLESALERS,"$1,876,332,829","$522,486,235","$33,961,052","$1,642,576","$35,603,628", 364 ,
2008,4234 PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES MERCHANT WHOLESALERS,"$3,173,904,723","$706,750,829","$45,938,823","$5,932,560","$51,871,383", 661 ,
2008,4235 METAL & MINERAL (EXCEPT PETROLEUM) MERCHANT WHOLESALERS,"$1,462,989,572","$62,127,952","$4,038,320","$164,883","$4,203,203", 78 ,
2008,4236 ELECTRICAL & ELECTRONIC GOODS MERCHANT WHOLESALERS,"$2,720,175,542","$873,398,596","$56,770,917","$838,259","$57,609,176", 389 ,
2008,"4237 HARDWARE, & PLUMBING & HEATING EQUIPMENT & SUPPLIES MERCHANT WHOLESALERS","$1,695,227,714","$718,884,546","$46,727,511","$1,041,374","$47,768,885", 399 ,
2008,"4238 MACHINERY, EQUIPMENT, & SUPPLIES MERCHANT WHOLESALERS","$6,426,906,068","$1,099,662,837","$71,478,936","$1,456,976","$72,935,912"," 1,354 ",
2008,4239 MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,"$3,674,834,269","$341,355,429","$22,188,113","$1,370,281","$23,558,394"," 1,076 ",
2008,4241 PAPER & PAPER PRODUCT MERCHANT WHOLESALERS,"$1,503,822,001","$248,146,790","$16,129,555","$238,401","$16,367,956", 204 ,
2008,4242 DRUGS & DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$3,773,662,891","$71,547,889","$4,650,617","$270,813","$4,921,430", 117 ,
2008,"4243 APPAREL, PIECE GOODS, & NOTIONS MERCHANT WHOLESALERS","$328,158,377","$6,466,045","$420,298","$24,927","$445,225", 91 ,
2008,4244 GROCERY & RELATED PRODUCT WHOLESALERS,"$7,947,170,277","$216,047,066","$14,043,093","$2,854,755","$16,897,848", 380 ,
2008,4245 FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,"$3,158,859,577","$43,774,143","$2,845,318","$2,370,367","$5,215,685", 165 ,
2008,4246 CHEMICAL & ALLIED PRODUCTS MERCHANT WHOLESALERS,"$1,788,468,310","$58,514,551","$3,803,446","$266,028","$4,069,474", 154 ,
2008,4247 PETROLEUM & PETROLEUM PRODUCTS MERCHANT WHOLESALERS,"$9,593,999,333","$160,815,976","$10,453,111","$3,099,147","$13,552,258", 194 ,
2008,"4248 BEER, WINE, & DISTILLED ALCOHOLIC BEVERAGE MERCHANT WHOLESALERS","$1,193,470,687","$8,822,152","$742,415","$410,459","$1,152,874", 76 ,
2008,4249 MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,"$4,935,688,060","$244,858,333","$15,915,821","$753,063","$16,668,884", 724 ,
2008,4251 WHOLESALE ELECTRONIC MARKETS & AGENTS & BROKERS,"$92,728,328","$15,742,385","$1,023,258","$31,833","$1,055,091", 115 ,
2008,4411 AUTOMOBILE DEALERS,"$8,248,111,045","$736,572,142","$48,046,018","$3,632,207","$51,678,225", 928 ,
2008,4412 OTHER MOTOR VEHICLE DEALERS,"$1,910,134,856","$517,998,252","$33,586,731","$122,161","$33,708,892", 736 ,
2008,"4413 AUTOMOTIVE PARTS, ACCESSORIES, & TIRE STORES","$1,566,541,535","$707,978,169","$46,018,601","$628,536","$46,647,137"," 1,476 ",
2008,4421 FURNITURE STORES,"$1,125,067,721","$935,050,276","$60,778,317","$768,510","$61,546,827", 839 ,
2008,4422 HOME FURNISHINGS STORES,"$1,052,245,913","$488,518,644","$31,757,820","$5,879,012","$37,636,832"," 1,651 ",
2008,4430 ELECTRONICS & APPLIANCE STORES,"$5,363,352","$1,640,559","$106,636",$0,"$106,636", 4 ,
2008,4431 ELECTRONICS & APPLIANCE STORES,"$3,239,306,202","$1,867,514,958","$121,388,481","$8,991,415","$130,379,896"," 1,984 ",
2008,4441 BUILDING MATERIAL & SUPPLIES DEALERS,"$5,777,063,111","$4,536,743,659","$294,885,341","$6,910,213","$301,795,554"," 2,047 ",
2008,4442 LAWN & GARDEN EQUIPMENT & SUPPLIES STORES,"$968,868,963","$247,220,141","$16,069,331","$361,056","$16,430,387", 597 ,
2008,4451 GROCERY STORES,"$9,387,536,552","$1,711,134,543","$114,110,836","$874,809","$114,985,645"," 1,612 ",
2008,4452 SPECIALTY FOOD STORES,"$781,900,190","$193,751,377","$12,764,957","$337,798","$13,102,755"," 1,041 ",
2008,"4453 BEER, WINE, & LIQUOR STORES","$1,288,030,541","$1,126,721,477","$99,963,417","$359,314","$100,322,731"," 1,092 ",
2008,4461 HEALTH & PERSONAL CARE STORES,"$4,210,773,729","$595,163,508","$38,730,864","$993,500","$39,724,364"," 1,631 ",
2008,4471 GASOLINE STATIONS,"$9,493,662,641","$883,868,916","$57,715,747","$1,013,789","$58,729,536"," 2,172 ",
2008,4480 CLOTHING & CLOTHING ACCESSORIES STORES,"$1,021,746,410","$200,371,444","$13,024,171","$570,073","$13,594,244", 713 ,
2008,4481 CLOTHING STORES,"$1,420,783,824","$281,761,184","$18,315,299","$970,129","$19,285,428"," 1,585 ",
2008,4482 SHOE STORES,"$292,966,990","$11,460,230","$744,941","$115,433","$860,374", 361 ,
2008,"4483 JEWELRY, LUGGAGE, & LEATHER GOODS STORES","$404,540,129","$323,519,805","$21,028,816","$127,493","$21,156,309"," 1,345 ",
2008,"4511 SPORTING GOODS, HOBBY, & MUSICAL INSTRUMENT STORES","$1,926,459,516","$1,074,572,384","$69,875,067","$553,699","$70,428,766"," 3,200 ",
2008,"4512 BOOK, PERIODICAL, & MUSIC STORES","$570,292,351","$283,304,892","$18,414,851","$76,601","$18,491,452"," 1,308 ",
2008,4520 GENERAL MERCHANDISE STORES,"$9,282,192,655","$4,914,652,355","$321,056,166","$9,060,487","$330,116,653", 567 ,
2008,4521 DEPARTMENT STORES,"$416,798,480","$205,316,232","$13,345,552","$342,255","$13,687,807", 62 ,
2008,4529 OTHER GENERAL MERCHANDISE STORES,"$1,119,020,080","$522,947,009","$34,158,496","$345,294","$34,503,790", 619 ,
2008,4530 MISCELLANEOUS STORE RETAILERS,"$1,184,219","$1,043,378","$67,820",$0,"$67,820", 5 ,
2008,4531 FLORISTS,"$155,691,065","$120,477,605","$7,831,031","$33,160","$7,864,191", 863 ,
2008,"4532 OFFICE SUPPLIES, STATIONERY, & GIFT STORES","$1,036,403,565","$677,324,837","$44,033,461","$882,304","$44,915,765"," 2,295 ",
2008,4533 USED MERCHANDISE STORES,"$257,484,669","$134,207,295","$8,729,249","$215,864","$8,945,113"," 2,390 ",
2008,4539 OTHER MISCELLANEOUS STORE RETAILERS,"$2,149,169,936","$842,604,985","$54,349,578","$1,504,845","$55,854,423"," 10,368 ",
2008,4540 NONSTORE RETAILERS,"$47,181,365","$23,370,935","$1,519,155","$7,084","$1,526,239"," 1,585 ",
2008,4541 ELECTRONIC SHOPPING & MAIL-ORDER HOUSES,"$1,955,166,802","$891,471,116","$57,947,012","$420,929","$58,367,941"," 1,222 ",
2008,4542 VENDING MACHINE OPERATORS,"$144,717,426","$122,184,576","$7,942,027","$244,941","$8,186,968", 573 ,
2008,4543 DIRECT SELLING ESTABLISHMENTS,"$2,382,467,587","$467,770,427","$30,411,317","$665,123","$31,076,440"," 2,813 ",
2008,4810 AIR TRANSPORTATION,"$126,445,653","$77,637,034","$5,067,727","$5,490,213","$10,557,940", 109 ,
