edr,year,farm.earnings,total.earnings
EDR  8 - Southwest,2010,642288,3325474
EDR  8 - Southwest,2011,874592,3699836
EDR  8 - Southwest,2012,963115,3872452
EDR  8 - Southwest,2013,1149231,4158265
EDR  8 - Southwest,2014,790487,3977786
EDR  8 - Southwest,2015,758112,4051685
EDR  8 - Southwest,2016,312222,3560373
EDR  8 - Southwest,2017,368728,3666607
EDR  8 - Southwest,2018,385797,3762882
EDR  9 - South Central,2001,157931,4146182
EDR  9 - South Central,2002,166779,4368470
EDR  9 - South Central,2003,263180,4594111
EDR  9 - South Central,2004,496682,5031349
EDR  9 - South Central,2005,575989,5228338
EDR  9 - South Central,2006,489665,5371909
EDR  9 - South Central,2007,452415,5385000
EDR  9 - South Central,2008,642934,5598219
EDR  9 - South Central,2009,407388,5196878
EDR  9 - South Central,2010,534867,5507184
EDR  9 - South Central,2011,812239,6002138
EDR  9 - South Central,2012,971119,6435525
EDR  9 - South Central,2013,935246,6505083
EDR  9 - South Central,2014,625751,6518317
EDR  9 - South Central,2015,478992,6581487
EDR  9 - South Central,2016,104237,6323860
EDR  9 - South Central,2017,332042,6665171
EDR  9 - South Central,2018,186968,6722815
EDR 10 - Southeast,2001,142707,10078045
EDR 10 - Southeast,2002,119305,10538462
EDR 10 - Southeast,2003,187900,11116441
EDR 10 - Southeast,2004,391972,11888500
EDR 10 - Southeast,2005,465161,12019780
EDR 10 - Southeast,2006,352553,12360568
EDR 10 - Southeast,2007,378308,12840702
EDR 10 - Southeast,2008,456729,13381215
EDR 10 - Southeast,2009,232582,13104725
EDR 10 - Southeast,2010,431835,13945273
EDR 10 - Southeast,2011,741991,14424272
EDR 10 - Southeast,2012,962733,15295370
EDR 10 - Southeast,2013,580083,15247636
EDR 10 - Southeast,2014,358540,15541019
EDR 10 - Southeast,2015,182652,16037834
EDR 10 - Southeast,2016,-151317,16258225
EDR 10 - Southeast,2017,45304,16882902
EDR 10 - Southeast,2018,249663,18051347
EDR 11 - 7 County Twin Cities,2001,84294,91014647
EDR 11 - 7 County Twin Cities,2002,94771,92249058
EDR 11 - 7 County Twin Cities,2003,119680,95664383
EDR 11 - 7 County Twin Cities,2004,133264,102175260
EDR 11 - 7 County Twin Cities,2005,136942,104943961
EDR 11 - 7 County Twin Cities,2006,128269,108443489
EDR 11 - 7 County Twin Cities,2007,125799,114457219
EDR 11 - 7 County Twin Cities,2008,160805,116363140
EDR 11 - 7 County Twin Cities,2009,144306,109734319
EDR 11 - 7 County Twin Cities,2010,166572,113325291
EDR 11 - 7 County Twin Cities,2011,204060,119924635
EDR 11 - 7 County Twin Cities,2012,248599,126419121
EDR 11 - 7 County Twin Cities,2013,222845,130498093
EDR 11 - 7 County Twin Cities,2014,173671,137237608
EDR 11 - 7 County Twin Cities,2015,172415,143690578
EDR 11 - 7 County Twin Cities,2016,124912,148213866
EDR 11 - 7 County Twin Cities,2017,135151,154115990
EDR 11 - 7 County Twin Cities,2018,107289,161031076
Minnesota,2001,1029219,131679344
Minnesota,2002,1017896,135128152
Minnesota,2003,1847095,141146500
Minnesota,2004,2470627,150987628
Minnesota,2005,2941668,154969728
Minnesota,2006,2553230,159588573
Minnesota,2007,2631792,167175577
Minnesota,2008,3970212,171922227
Minnesota,2009,2121024,162791441
Minnesota,2010,3140158,169682909
Minnesota,2011,4300155,179683799
Minnesota,2012,5977017,190181389
Minnesota,2013,5613071,195260585
Minnesota,2014,3628734,202625339
Minnesota,2015,3180010,211003037
Minnesota,2016,1335979,215200116
Minnesota,2017,1850163,223244047
Minnesota,2018,1852217,233117230
