NAICS,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER,
2380,"$3,827,018,714","$291,120,222","$18,927,939","$12,025,653","$30,953,592","3,614",
2381,"$114,306,595","$3,990,491","$259,382","$54,807","$314,189",140,
2382,"$385,807,757","$14,509,058","$943,091","$375,193","$1,318,284",324,
2383,"$77,462,814","$7,159,280","$465,357","$522,721","$988,078",205,
2389,"$296,588,224","$52,558,439","$3,405,722","$1,050,230","$4,455,952",353,
3110,"$2,052,565,179","$30,787,569","$2,001,187","$3,801,714","$5,802,901",168,
3111,"$222,075,902","$1,699,044","$110,437","$78,692","$189,129",24,
3112,"$46,976,840","$1,386,081","$90,094","$915,871","$1,005,965",12,
3113,"$118,687,960","$18,006,913","$1,170,973","$373,233","$1,544,206",168,
3114,"$562,932,952","$2,264,309","$147,182","$729,436","$876,618",19,
3115,"$824,572,478","$552,489","$35,911","$262,298","$298,209",14,
3116,"$127,768,968","$1,650,231","$107,266","$95,364","$202,630",17,
3118,"$129,330,029","$4,302,578","$282,098","$93,420","$375,518",71,
3119,"$428,583,697","$2,015,704","$131,082","$247,604","$378,686",35,
3121,"$171,613,032","$11,193,108","$737,670","$189,369","$927,039",23,
3130,"$73,314,976","$8,574,963","$557,375","$7,404","$564,779",59,
3132,"$14,550,691","$7,375",$480,"$77,681","$78,161",4,
3133,"$13,507,950","$327,942","$21,316","$1,109","$22,425",8,
3140,"$24,399,910","$1,188,665","$77,265","$2,448","$79,713",8,
3141,"$10,622,130","$3,349,185","$217,696",$701,"$218,397",24,
3149,"$173,890,988","$3,672,015","$238,682","$121,474","$360,156",61,
3150,"$46,344,849","$4,147,058","$269,553","$1,010","$270,563",101,
3152,"$48,272,003","$2,612,312","$169,800","$21,644","$191,444",36,
3159,"$41,646,022","$549,783","$35,736","$22,908","$58,644",27,
3160,"$11,133,718","$5,411,036","$351,716","$194,462","$546,178",19,
3161,"$20,979,989","$21,344","$1,389","$41,505","$42,894",5,
3162,"$20,082,688","$147,599","$9,593","$6,371","$15,964",4,
3169,"$2,288,389","$273,089","$17,751",$118,"$17,869",18,
3210,"$2,569,538,720","$227,675,236","$14,798,968","$2,061,433","$16,860,401",478,
3211,"$27,209,398","$1,598,970","$103,935",$63,"$103,998",18,
3212,"$231,419,933","$32,802,079","$2,132,132","$202,782","$2,334,914",41,
3219,"$515,844,382","$87,432,103","$5,651,979","$252,555","$5,904,534",161,
3220,"$1,737,714,483","$40,768,780","$2,649,969","$18,718,246","$21,368,215",81,
3221,"$128,762,055","$498,698","$32,414","$27,350","$59,764",8,
3222,"$699,326,304","$11,862,852","$771,087","$732,387","$1,503,474",59,
3231,"$3,806,711,099","$479,960,444","$31,197,536","$3,049,424","$34,246,960","1,220",
3240,"$79,726,078","$62,199,460","$4,042,966","$4,152,395","$8,195,361",18,
3241,"$161,151,996","$82,965,206","$5,392,739","$65,646","$5,458,385",12,
3250,"$1,938,884,363","$38,836,770","$2,524,394","$442,991","$2,967,385",165,
3251,"$226,806,578","$6,454,892","$419,562","$79,651","$499,213",33,
3252,"$10,269,861","$306,530","$19,923","$3,430","$23,353",7,
3253,"$221,284,494","$1,098,102","$71,377","$5,588","$76,965",12,
3254,"$853,367,635","$1,320,170","$85,813","$1,268,988","$1,354,801",33,
3255,"$37,853,022","$3,138,175","$203,985","$22,292","$226,277",20,
3256,"$335,846,915","$24,764,238","$1,609,674","$418,849","$2,028,523",39,
3259,"$337,381,741","$7,815,291","$507,998","$232,349","$740,347",46,
3260,"$716,832,980","$39,611,377","$2,574,736","$768,687","$3,343,423",201,
3261,"$1,236,260,937","$42,697,741","$2,775,342","$1,920,879","$4,696,221",176,
3262,"$240,219,564","$7,895,318","$513,197","$123,504","$636,701",31,
3270,"$533,915,726","$109,772,115","$7,135,200","$2,143,357","$9,278,557",202,
3271,"$17,569,945","$2,844,977","$184,925","$8,180","$193,105",14,
3272,"$99,891,244","$4,737,214","$307,918","$224,260","$532,178",27,
3273,"$805,423,361","$418,608,071","$27,209,539","$550,611","$27,760,150",119,
3279,"$73,473,638","$11,622,236","$755,445","$508,834","$1,264,279",32,
3310,"$851,778,574","$35,521,577","$2,308,907","$1,296,919","$3,605,826",61,
3311,"$32,400,536","$664,464","$43,190","$89,268","$132,458",8,
3312,"$125,635,994","$6,720,001","$436,799","$94,904","$531,703",40,
3313,"$59,268,645","$395,817","$25,729","$253,125","$278,854",8,
3314,"$62,606,834","$22,517","$1,464","$4,945","$6,409",4,
3315,"$446,322,959","$351,538","$22,850","$566,657","$589,507",27,
3320,"$1,706,145,717","$155,764,053","$10,124,666","$1,580,132","$11,704,798",719,
3321,"$273,733,558","$796,655","$51,783","$269,060","$320,843",53,
3322,"$126,819,296","$742,823","$48,287","$68,246","$116,533",18,
3323,"$597,872,023","$104,321,218","$6,780,882","$1,493,963","$8,274,845",170,
3324,"$68,394,393","$5,070,503","$329,578","$42,585","$372,163",17,
3325,"$23,970,569","$379,597","$24,674","$14,209","$38,883",8,
3326,"$85,981,016","$4,211,846","$273,769","$98,883","$372,652",18,
3327,"$590,674,803","$17,693,472","$1,150,077","$563,383","$1,713,460",276,
3328,"$171,857,958","$1,268,087","$82,424","$136,249","$218,673",70,
3329,"$1,218,943,403","$76,085,946","$4,945,614","$953,666","$5,899,280",254,
3330,"$2,359,291,948","$277,798,836","$18,056,914","$6,520,118","$24,577,032",619,
3331,"$1,039,672,221","$14,268,032","$927,425","$423,267","$1,350,692",72,
3332,"$353,894,166","$36,597,335","$2,378,840","$530,780","$2,909,620",121,
3333,"$407,581,690","$38,532,652","$2,504,625","$889,236","$3,393,861",77,
3334,"$258,005,748","$11,882,861","$772,388","$117,425","$889,813",32,
3335,"$217,794,983","$13,947,930","$906,619","$369,293","$1,275,912",94,
3336,"$49,082,444","$3,275,130","$212,886","$7,694","$220,580",14,
3339,"$684,180,927","$56,709,294","$3,686,107","$645,501","$4,331,608",187,
3340,"$783,757,489","$38,196,709","$2,482,784","$2,754,238","$5,237,022",138,
3341,"$626,757,659","$19,075,630","$1,239,914","$2,833,859","$4,073,773",71,
3342,"$119,018,610","$10,811,117","$702,720","$89,848","$792,568",35,
3343,"$89,943,026","$3,844,676","$249,907","$58,119","$308,026",19,
3344,"$870,462,305","$7,049,897","$458,245","$1,635,574","$2,093,819",67,
3345,"$1,062,159,951","$12,991,229","$844,432","$1,010,304","$1,854,736",95,
3346,"$78,235,727","$9,136,263","$593,858","$674,875","$1,268,733",15,
3350,"$3,381,324,818","$178,910,073","$11,629,162","$5,942,969","$17,572,131",424,
3351,"$20,286,453","$1,176,170","$76,452","$4,399","$80,851",10,
3352,"$19,763,837","$1,445,583","$93,961","$7,371","$101,332",5,
3353,"$194,710,549","$12,408,389","$806,545","$458,774","$1,265,319",51,
3359,"$245,454,974","$19,999,856","$1,299,997","$112,586","$1,412,583",83,
3360,"$2,018,938,295","$15,011,771","$975,765","$536,158","$1,511,923",79,
3361,"$95,589,964","$2,979,570","$193,674","$366,543","$560,217",11,
3362,"$77,628,380","$14,140,913","$919,159","$14,383","$933,542",26,
3363,"$199,093,142","$1,818,458","$118,197","$310,799","$428,996",38,
3364,"$247,355,952","$4,036,403","$262,364","$50,937","$313,301",9,
3366,"$398,752,232","$1,983,687","$128,939","$81,871","$210,810",12,
3369,"$48,463,576","$8,493,044","$552,044","$3,366","$555,410",22,
3370,"$425,789,575","$71,809,175","$4,667,596","$267,714","$4,935,310",334,
3371,"$355,524,674","$45,211,889","$2,938,770","$873,015","$3,811,785",141,
3372,"$207,718,120","$15,823,426","$1,028,522","$179,761","$1,208,283",46,
3379,"$47,822,807","$2,542,780","$165,283","$17,634","$182,917",6,
3390,"$4,080,305,272","$301,899,877","$19,599,218","$2,513,444","$22,112,662","1,307",
3391,"$548,091,108","$20,413,139","$1,336,218","$1,492,474","$2,828,692",186,
3399,"$910,261,585","$110,823,031","$7,203,493","$886,942","$8,090,435",510,
4231,"$2,748,132,875","$154,644,977","$10,052,426","$990,650","$11,043,076",414,
4232,"$279,360,115","$79,895,868","$5,193,235","$29,367","$5,222,602",167,
4233,"$2,008,375,249","$487,503,374","$31,687,723","$1,443,093","$33,130,816",317,
4234,"$2,738,035,914","$661,905,894","$43,025,288","$6,874,920","$49,900,208",576,
4235,"$1,122,477,200","$93,121,065","$6,052,875","$102,900","$6,155,775",85,
4236,"$2,830,842,311","$812,368,504","$52,803,960","$625,373","$53,429,333",308,
4237,"$1,562,732,304","$678,149,968","$44,079,774","$945,369","$45,025,143",371,
4238,"$4,319,837,161","$910,565,307","$59,186,756","$1,131,608","$60,318,364","1,208",
4239,"$3,267,991,964","$395,158,264","$25,685,315","$1,573,984","$27,259,299",911,
4241,"$1,148,726,607","$110,778,906","$7,200,636","$420,899","$7,621,535",181,
4242,"$4,146,261,471","$43,416,681","$2,822,083","$224,290","$3,046,373",80,
4243,"$3,628,909","$872,385","$56,707","$2,855","$59,562",12,
4244,"$6,141,288,875","$188,811,342","$12,273,214","$1,751,305","$14,024,519",392,
4245,"$2,029,092,309","$44,468,643","$2,890,454","$546,738","$3,437,192",169,
4246,"$652,508,420","$52,453,691","$3,409,496","$87,126","$3,496,622",153,
4247,"$4,164,401,914","$165,114,603","$10,733,833","$1,466,091","$12,199,924",224,
4248,"$975,060,711","$7,387,023","$627,367","$221,736","$849,103",65,
4249,"$3,552,312,642","$214,057,344","$13,913,759","$564,115","$14,477,874",681,
4251,"$45,999,196","$5,796,981","$376,808","$25,423","$402,231",40,
4411,"$9,739,319,824","$450,848,226","$29,516,354","$784,134","$30,300,488",865,
4412,"$2,182,682,039","$723,036,806","$46,893,143","$157,924","$47,051,067",730,
4413,"$1,312,910,185","$563,434,613","$36,623,329","$445,575","$37,068,904","1,302",
4421,"$1,216,813,016","$990,474,516","$64,380,876","$1,213,975","$65,594,851",885,
4422,"$1,319,414,679","$624,775,896","$40,610,404","$7,955,872","$48,566,276","1,876",
4431,"$3,746,821,599","$2,062,368,367","$134,056,441","$6,397,659","$140,454,100","2,256",
4441,"$6,383,213,139","$5,255,028,734","$341,560,075","$8,100,894","$349,660,969","2,083",
4442,"$884,681,077","$262,837,861","$17,084,432","$355,221","$17,439,653",632,
4451,"$8,233,800,249","$1,749,099,016","$115,389,406","$1,005,687","$116,395,093","1,773",
4452,"$638,801,279","$182,780,385","$11,949,235","$251,242","$12,200,477","1,128",
4453,"$1,026,447,187","$957,434,427","$84,521,512","$128,640","$84,650,152","1,022",
4461,"$2,557,338,880","$459,103,493","$29,914,290","$462,101","$30,376,391","1,198",
4471,"$7,165,781,756","$1,138,797,910","$74,137,224","$972,928","$75,110,152","2,274",
4480,"$841,056,333","$184,080,572","$11,965,433","$507,923","$12,473,356",851,
4481,"$928,738,000","$193,370,395","$12,569,081","$562,259","$13,131,340","1,046",
4482,"$243,383,996","$10,121,763","$657,907","$121,750","$779,657",332,
4483,"$426,053,434","$362,964,124","$23,592,666","$218,992","$23,811,658","1,501",
4511,"$1,639,532,596","$910,088,625","$59,190,349","$458,670","$59,649,019","3,131",
4512,"$820,622,099","$408,653,892","$26,770,197","$154,603","$26,924,800","1,493",
4520,"$8,349,538,686","$4,696,060,253","$306,594,691","$4,820,651","$311,415,342",640,
4521,"$835,119,490","$367,225,422","$23,869,812","$490,577","$24,360,389",73,
4529,"$611,191,001","$326,196,341","$21,203,059","$194,533","$21,397,592",430,
4531,"$191,023,920","$143,456,089","$9,324,679","$24,646","$9,349,325",907,
4532,"$1,224,524,528","$824,027,203","$53,567,163","$965,109","$54,532,272","2,746",
4533,"$231,951,994","$137,087,656","$8,914,372","$140,978","$9,055,350","2,770",
4539,"$3,246,122,273","$1,032,190,725","$65,765,551","$1,539,248","$67,304,799","12,925",
4540,"$25,269,846","$16,450,488","$1,070,323","$12,340","$1,082,663","1,421",
4541,"$1,360,621,101","$457,475,548","$29,758,092","$410,782","$30,168,874",688,
4542,"$140,723,107","$122,916,208","$7,989,538","$124,257","$8,113,795",652,
4543,"$1,715,490,866","$520,410,887","$33,830,973","$398,484","$34,229,457","2,033",
4810,"$122,999,691","$74,548,267","$4,880,086","$4,256,436","$9,136,522",130,
4821,"$138,664,810","$756,273","$50,353","$3,660,408","$3,710,761",17,
4830,"$13,030,463","$7,402,721","$512,063","$58,420","$570,483",26,
4840,"$281,513,193","$20,195,813","$1,312,724","$766,352","$2,079,076",533,
4841,"$668,819,101","$43,548,978","$2,830,956","$851,086","$3,682,042",691,
4842,"$1,409,949,714","$12,345,265","$802,440","$510,554","$1,312,994",495,
4850,"$111,689,806","$4,879,603","$332,628","$15,222","$347,850",54,
4851,"$5,922,865","$109,788","$7,136","$14,723","$21,859",5,
4852,"$627,319","$627,319","$40,775","$13,082","$53,857",4,
4853,"$3,360,692","$700,771","$45,551",$88,"$45,639",15,
4854,"$69,996,788","$1,332,902","$86,637","$29,240","$115,877",29,
4855,"$13,533,338","$36,691","$2,385","$49,957","$52,342",13,
4859,"$10,444,317","$2,800,787","$218,705","$4,522","$223,227",19,
4860,"$36,448","$36,448","$2,370","$198,687","$201,057",9,
4881,"$41,568,345","$3,972,813","$267,911","$12,574","$280,485",34,
4882,"$6,583,963","$291,113","$18,926","$44,445","$63,371",4,
4883,"$15,495,072","$1,532,998","$99,644","$8,375","$108,019",5,
4884,"$176,448,020","$98,903,120","$6,428,847","$32,996","$6,461,843",586,
4885,"$73,152,489","$53,254","$3,461","$23,194","$26,655",27,
4889,"$37,387,193","$596,447","$38,770","$66,372","$105,142",13,
4921,"$879,743","$382,717","$24,874","$6,972","$31,846",8,
4922,"$19,134,062","$2,549,070","$165,691","$42,130","$207,821",35,
4931,"$28,034,487","$3,121,523","$202,899","$119,768","$322,667",74,
5111,"$909,852,506","$35,357,541","$2,298,246","$757,716","$3,055,962",318,
5112,"$241,358,284","$50,354,166","$3,273,023","$202,023","$3,475,046",87,
5121,"$184,797,729","$80,504,223","$5,235,067","$119,656","$5,354,723",298,
5122,"$28,840,979","$2,267,053","$147,359","$5,296","$152,655",24,
5151,"$82,647,361","$11,030,897","$718,506","$383,309","$1,101,815",95,
5152,"$794,141,400","$637,932,467","$41,465,622","$1,004,735","$42,470,357",64,
5170,"$3,422,875,550","$2,942,067,136","$191,234,369","$3,325,626","$194,559,995",754,
5172,"$1,863,543","$1,513,944","$98,409",$291,"$98,700",4,
5173,"$1,885,829","$538,137","$34,981","$1,361","$36,342",8,
5181,"$2,855,921","$779,603","$50,673","$24,305","$74,978",12,
5182,"$2,280,053,844","$315,071,703","$20,479,708","$1,428,496","$21,908,204",979,
5190,"$888,648,132","$579,516,179","$37,669,980","$975,630","$38,645,610",227,
5191,"$1,924,268,646","$515,018,035","$33,523,014","$7,637,372","$41,160,386","1,833",
5221,"$395,428,569","$73,098,988","$4,751,424","$2,701,482","$7,452,906",503,
5222,"$577,855,233","$243,131,085","$15,803,532","$454,556","$16,258,088",292,
5223,"$57,095,240","$2,178,503","$141,597","$273,985","$415,582",69,
5231,"$57,004,451","$1,970,086","$128,056","$4,006,638","$4,134,694",85,
5239,"$143,327,422","$6,607,525","$431,858","$40,434","$472,292",101,
5241,"$1,370,393,631","$4,538,367","$295,000","$2,425,110","$2,720,110",120,
5242,"$360,226,428","$7,012,017","$455,793","$1,293,851","$1,749,644",496,
5259,"$78,005,373","$55,317,346","$3,595,626","$1,380","$3,597,006",34,
5310,"$649,207,749","$88,307,520","$5,806,756","$561,965","$6,368,721",930,
5311,"$118,498,856","$12,620,484","$823,476","$66,675","$890,151",245,
5312,"$96,968,393","$749,604","$49,999","$36,142","$86,141",157,
5313,"$88,481,164","$11,438,246","$717,338","$80,084","$797,422",220,
5321,"$510,486,994","$432,926,339","$38,527,753","$519,599","$39,047,352",285,
5322,"$1,195,855,455","$817,482,625","$53,973,651","$403,265","$54,376,916","1,347",
5323,"$50,721,068","$35,001,145","$2,280,108","$55,812","$2,335,920",81,
5324,"$544,126,803","$322,622,241","$20,981,072","$146,671","$21,127,743",335,
5331,"$15,071,018","$9,984,461","$648,991","$180,091","$829,082",14,
5411,"$510,094,712","$1,581,827","$102,817","$438,065","$540,882",527,
5412,"$438,990,027","$14,785,005","$971,223","$314,451","$1,285,674",681,
5413,"$760,383,734","$32,542,144","$2,115,265","$1,083,725","$3,198,990",735,
5414,"$302,035,862","$78,610,876","$5,109,739","$216,799","$5,326,538","1,235",
5415,"$1,236,705,207","$228,019,611","$14,821,447","$1,988,478","$16,809,925","1,000",
5416,"$1,816,536,212","$188,598,535","$12,343,420","$977,362","$13,320,782","2,026",
5417,"$364,780,148","$7,603,797","$494,247","$1,693,325","$2,187,572",115,
5418,"$1,078,959,871","$67,325,456","$4,378,975","$870,659","$5,249,634",727,
5419,"$1,022,427,841","$310,865,599","$20,206,847","$1,904,362","$22,111,209","2,876",
5510,"$182,960,238","$81,411,111","$5,329,844","$187,863","$5,517,707",153,
5511,"$272,237,248","$21,764,235","$1,418,476","$145,928","$1,564,404",67,
5611,"$40,694,369","$3,279,729","$213,178","$75,791","$288,969",55,
5612,"$22,741,882","$9,987,668","$649,197","$58,521","$707,718",19,
5613,"$214,501,533","$5,153,751","$334,994","$58,813","$393,807",157,
5614,"$2,413,044,303","$398,400,851","$25,903,021","$1,995,597","$27,898,618","2,840",
5615,"$493,460,527","$27,829,652","$1,809,426","$993,280","$2,802,706",135,
5616,"$268,938,160","$186,931,199","$12,150,534","$494,645","$12,645,179",360,
5617,"$1,249,747,876","$749,570,653","$48,722,511","$935,032","$49,657,543","6,284",
5619,"$295,935,843","$66,265,284","$4,307,989","$211,880","$4,519,869",238,
5620,"$143,728,266","$1,064,559","$69,199","$109,795","$178,994",103,
5621,"$161,320,645","$969,851","$63,045","$135,945","$198,990",117,
5622,"$38,301,619","$25,840","$1,680","$28,705","$30,385",12,
5629,"$62,482,122","$3,143,762","$204,347","$55,494","$259,841",57,
6110,"$46,295,458","$2,869,139","$186,581","$102,113","$288,694",141,
6111,"$35,276,359","$13,729,364","$892,413","$62,450","$954,863",334,
6112,"$6,918,204","$1,414,988","$91,974",$0,"$91,974",5,
6113,"$135,697,720","$36,346,621","$2,362,909","$44,785","$2,407,694",98,
6114,"$38,686,841","$979,714","$63,678","$5,009","$68,687",24,
6115,"$27,949,847","$6,721,446","$437,458","$66,178","$503,636",27,
6116,"$84,926,768","$10,565,960","$686,805","$114,953","$801,758",309,
6117,"$152,614","$68,792","$4,472",$857,"$5,329",7,
6211,"$1,613,770,467","$10,148,763","$659,683","$1,331,630","$1,991,313",437,
6212,"$328,459,296","$1,351,351","$87,840","$186,490","$274,330",565,
6213,"$435,838,058","$19,181,941","$1,246,838","$143,013","$1,389,851","1,516",
6214,"$361,862,128","$13,832,113","$899,086","$577,462","$1,476,548",428,
6215,"$144,599,787","$2,618,001","$170,175","$726,805","$896,980",58,
6216,"$225,981,406","$2,805,503","$182,359","$20,608","$202,967",83,
6219,"$14,236,293","$85,222","$5,541","$33,450","$38,991",10,
6220,"$490,341,065","$31,704,183","$2,060,775","$201,385","$2,262,160",61,
6221,"$1,141,964,238","$28,258,308","$1,836,788","$42,372","$1,879,160",80,
6230,"$92,985,367","$2,360,741","$153,442","$134,483","$287,925",169,
6231,"$48,211,110","$2,085,874","$135,576","$44,083","$179,659",122,
6232,"$37,591,845","$162,952","$10,588","$2,304","$12,892",18,
6233,"$17,415,472","$230,889","$15,008","$3,213","$18,221",19,
6239,"$34,889,170","$1,379,453","$89,664","$5,813","$95,477",58,
6241,"$22,991,669","$1,541,708","$100,211","$19,936","$120,147",104,
6242,"$726,162","$105,067","$6,829",$0,"$6,829",7,
6243,"$130,425,912","$10,815,892","$705,336","$8,782","$714,118",110,
6244,"$62,480,201","$525,759","$34,171","$62,120","$96,291",99,
7110,"$27,268,397","$11,202,880","$750,848","$12,325","$763,173",172,
7111,"$12,120,799","$9,144,041","$685,614","$15,153","$700,767",40,
7112,"$178,203,566","$163,850,278","$10,662,121","$199,177","$10,861,298",90,
7113,"$10,616,902","$4,279,026","$280,030","$29,281","$309,311",37,
7114,"$12,693,653","$10,393,473","$697,021","$11,123","$708,144",14,
7115,"$19,638,291","$2,643,429","$173,387","$13,389","$186,776",300,
7121,"$18,072,878","$11,145,149","$724,992","$17,731","$742,723",140,
7131,"$95,039,569","$87,577,302","$5,718,481","$296,738","$6,015,219",46,
7132,"$715,835,588","$407,730,359","$26,522,912","$62,196","$26,585,108",12,
7139,"$1,168,618,116","$943,211,182","$63,200,186","$635,552","$63,835,738","2,144",
7211,"$1,406,665,268","$1,312,332,435","$86,643,297","$1,105,619","$87,748,916","2,160",
7212,"$34,731,134","$22,124,144","$1,453,516","$17,567","$1,471,083",319,
7213,"$3,104,869","$1,894,056","$123,116","$3,059","$126,175",53,
7220,"$577,176","$550,237","$38,445",$0,"$38,445",7,
7221,"$4,382,844,996","$4,120,522,390","$281,116,498","$6,268,642","$287,385,140","6,682",
7222,"$956,159,774","$917,200,453","$59,856,145","$756,227","$60,612,372","1,703",
7223,"$192,628,461","$122,233,220","$8,146,759","$123,381","$8,270,140",417,
7224,"$734,551,124","$712,885,854","$55,532,690","$138,091","$55,670,781","1,693",
8111,"$1,595,542,196","$748,163,284","$48,655,600","$970,482","$49,626,082","5,045",
8112,"$183,148,704","$41,019,690","$2,666,278","$510,291","$3,176,569",567,
8113,"$243,801,452","$58,926,102","$3,830,184","$271,987","$4,102,171",353,
8114,"$409,179,907","$140,160,110","$9,109,841","$368,148","$9,477,989","2,763",
8121,"$386,145,508","$111,158,597","$7,225,435","$183,131","$7,408,566","3,718",
8122,"$66,460,262","$4,525,084","$294,131","$9,612","$303,743",150,
8123,"$279,442,543","$215,163,375","$13,985,608","$223,315","$14,208,923",521,
8129,"$612,712,222","$356,989,085","$23,209,605","$413,011","$23,622,616","3,151",
8130,"$11,029,360","$2,607,577","$179,180","$12,517","$191,697",93,
8131,"$43,721,350","$11,250,304","$732,243",$665,"$732,908",297,
8132,"$31,332,176","$3,429,647","$225,051","$2,130","$227,181",89,
8133,"$6,879,643","$2,221,412","$145,685",$48,"$145,733",23,
8134,"$260,156,042","$134,740,893","$10,539,774","$58,327","$10,598,101","1,173",
8139,"$110,484,117","$19,280,090","$1,271,836","$232,156","$1,503,992",296,
8141,"$5,655,949","$933,438","$60,671","$172,726","$233,397",75,
9211,"$903,151,649","$337,837,085","$22,314,595","$2,238,942","$24,553,537",813,
9231,"$832,127","$86,412","$5,618","$7,985","$13,603",9,
9241,"$33,395,418","$27,399,029","$1,780,937","$10,889","$1,791,826",42,
9251,"$96,661","$79,040","$5,138","$27,159","$32,297",9,
9261,"$6,354,125","$4,057,835","$263,757","$172,862","$436,619",8,
9999,"$2,518,740,962","$132,884,451","$8,686,328","$2,537,134","$11,223,462","1,540",
TOTAL,"$241,337,353,469","$60,309,541,847","$3,985,151,015","$270,853,616","$4,256,004,631","152,679",
