edr,year,farm.earnings,total.earnings,ag.related.wages,total.wages
EDR  3 - Arrowhead,2015,18912,8737693,11799585,5968500282
EDR  3 - Arrowhead,2016,8813,8684581,14414254,5932070230
EDR  3 - Arrowhead,2017,3098,8900771,4523080.333333334,6190440106
EDR  4 - West Central,2001,131420,3176752,134276611.66666666,1900938292
EDR  4 - West Central,2002,125318,3384095,137738037.5,2009689657
EDR  4 - West Central,2003,250013,3678311,138218839,2108107066
EDR  4 - West Central,2004,251411,3881569,147113974,2209837352
EDR  4 - West Central,2005,264020,3962196,139546327,2236130174
EDR  4 - West Central,2006,259180,4048564,149808402,2343792881
EDR  4 - West Central,2007,285483,4247866,168314159.5,2469576517
EDR  4 - West Central,2008,482221,4677570,189537040,2637219199
EDR  4 - West Central,2009,173851,4457212,203008726,2581664648
EDR  4 - West Central,2010,311411,4820407,213908074,2638066345
EDR  4 - West Central,2011,378365,5122517,231253294,2741133154
EDR  4 - West Central,2012,784853,5870562,248271331,2894733324
EDR  4 - West Central,2013,706894,5851269,256368783,3018476742
EDR  4 - West Central,2014,389986,5637300,272247101,3178473580
EDR  4 - West Central,2015,296050,5745995,287593266,3325958950
EDR  4 - West Central,2016,164411,5777310,302683211,3429609246
EDR  4 - West Central,2017,159363,5801629,337070587,3578405617
EDR  5 - North Central,2001,21615,2240304,43763471,1461413566
EDR  5 - North Central,2002,24177,2378789,49519699,1535553478
EDR  5 - North Central,2003,59114,2514816,51273144,1581147371
EDR  5 - North Central,2004,93358,2706839,50823379,1667602397
EDR  5 - North Central,2005,121536,2746591,49992726,1663888861
EDR  5 - North Central,2006,96954,2793472,53146847.666666664,1741259758
EDR  5 - North Central,2007,95931,2870831,58286999.666666664,1802862433
EDR  5 - North Central,2008,154563,2977179,64173877.5,1826577262
EDR  5 - North Central,2009,84374,2845711,66095898,1769954257
EDR  5 - North Central,2010,152384,3006729,71258597,1801506581
EDR  5 - North Central,2011,192956,3134135,74181786.33333333,1842548748
EDR  5 - North Central,2012,221739,3287916,80634448,1866747481
EDR  5 - North Central,2013,156559,3287791,85720735,1933185184
EDR  5 - North Central,2014,188994,3460421,90517830,2016029354
EDR  5 - North Central,2015,206864,3600978,88097876,2127678246
EDR  5 - North Central,2016,102033,3635642,95982106,2231922205
EDR  5 - North Central,2017,109085,3809640,102503680,2324703507
EDR  6E- Southwest Central,2001,66648,2093099,161925469.5,1396038107
EDR  6E- Southwest Central,2002,87106,2229824,170318465.66666666,1449078219
EDR  6E- Southwest Central,2003,106474,2362309,174241436,1497574164
EDR  6E- Southwest Central,2004,159817,2539500,179524350.66666666,1563823090
EDR  6E- Southwest Central,2005,219806,2657785,167266184.33333334,1601625518
EDR  6E- Southwest Central,2006,210107,2725268,175312874,1678397230
EDR  6E- Southwest Central,2007,196572,2779879,187237318,1745943157
EDR  6E- Southwest Central,2008,307169,2962111,196654179,1781556748
EDR  6E- Southwest Central,2009,182466,2756768,226623547,1700580408
EDR  6E- Southwest Central,2010,229646,2859560,219481642,1694962298
EDR  6E- Southwest Central,2011,240958,2991267,230557920,1751088559
EDR  6E- Southwest Central,2012,435978,3290563,236245899,1802182423
EDR  6E- Southwest Central,2013,407081,3339717,226444131,1853730319
EDR  6E- Southwest Central,2014,267677,3323432,234838300.33333334,1941843364
EDR  6E- Southwest Central,2015,327151,3577423,246511939,2042117720
EDR  6E- Southwest Central,2016,158447,3471957,256846630,2078262459
EDR  6E- Southwest Central,2017,182354,3597245,283951667,2192864883
EDR  6W- Upper Minnesota Valley,2001,69955,735495,52094493,418613367
EDR  6W- Upper Minnesota Valley,2002,80018,786127,52859630,430591002
EDR  6W- Upper Minnesota Valley,2003,93185,802019,53777514,439905878
EDR  6W- Upper Minnesota Valley,2004,157888,926848,59507395,469565345
EDR  6W- Upper Minnesota Valley,2005,199090,998890,60657197,486691529
EDR  6W- Upper Minnesota Valley,2006,155878,1006816,64202021,515756107
EDR  6W- Upper Minnesota Valley,2007,147599,1024402,69001843,551926902
EDR  6W- Upper Minnesota Valley,2008,232403,1104237,79907796,575008114
EDR  6W- Upper Minnesota Valley,2009,187341,1028547,78105404.5,567656679
EDR  6W- Upper Minnesota Valley,2010,225860,1103995,80249629.66666667,566330189
EDR  6W- Upper Minnesota Valley,2011,265707,1238769,83261248,585575434
EDR  6W- Upper Minnesota Valley,2012,417118,1426160,83431522.5,590207323
EDR  6W- Upper Minnesota Valley,2013,474598,1466664,74790919.33333333,579003930
EDR  6W- Upper Minnesota Valley,2014,224531,1285005,69464302,595277193
EDR  6W- Upper Minnesota Valley,2015,208269,1324505,68158797,612968327
EDR  6W- Upper Minnesota Valley,2016,96921,1183607,68419030,630451376
EDR  6W- Upper Minnesota Valley,2017,45754,1124669,61221730.666666664,653692160
EDR  7E- East Central,2001,9419,1773289,14739429,1114046321
EDR  7E- East Central,2002,8859,1906916,14828741,1194118951
EDR  7E- East Central,2003,16196,1981533,13555408,1255240661
EDR  7E- East Central,2004,25321,2110694,13669989.5,1330999154
EDR  7E- East Central,2005,20698,2132158,14300778,1294752810
EDR  7E- East Central,2006,21175,2180875,14468441,1355435384
EDR  7E- East Central,2007,18983,2205928,12769266.5,1390702619
EDR  7E- East Central,2008,24331,2221142,16162438,1423652560
EDR  7E- East Central,2009,8256,2169173,18193444,1385487167
EDR  7E- East Central,2010,26082,2249798,18969553,1391729008
EDR  7E- East Central,2011,31661,2337048,19228947,1428404739
EDR  7E- East Central,2012,46408,2400789,19120629.333333332,1487785634
EDR  7E- East Central,2013,29985,2530706,18731637.333333332,1531674388
EDR  7E- East Central,2014,39254,2621761,19834545,1574726614
EDR  7E- East Central,2015,57230,2742578,20835416.666666668,1716507726
EDR  7E- East Central,2016,47929,2845940,22869205,1773248015
EDR  7E- East Central,2017,48094,2931441,24966443,1842797111
EDR  7W- Central,2001,78870,5980333,131458070,4001082811
EDR  7W- Central,2002,76329,6376170,137457552,4226330805
EDR  7W- Central,2003,130319,6733830,145151111,4379066973
EDR  7W- Central,2004,195445,7232087,156119772,4673582336
EDR  7W- Central,2005,200729,7466216,152900916,4836009230
EDR  7W- Central,2006,194906,7758670,157422765.33333334,5150288158
EDR  7W- Central,2007,185164,8073956,166985468,5399236547
EDR  7W- Central,2008,272382,8262591,175471108,5500515353
EDR  7W- Central,2009,142332,7971536,183091359,5323055381
EDR  7W- Central,2010,201150,8249080,189939522,5391506333
EDR  7W- Central,2011,249115,8866405,194216464,5684217393
EDR  7W- Central,2012,351638,9428068,193831410.66666666,5976112437
EDR  7W- Central,2013,241641,9736778,208858788,6199768377
EDR  7W- Central,2014,282288,10379556,227634112.66666666,6527099727
EDR  7W- Central,2015,258687,10758697,243228345,6949755507
EDR  7W- Central,2016,159959,11001024,252529023,7244174532
EDR  7W- Central,2017,183451,11375657,277455418,7608298771
EDR  8 - Southwest,2001,196999,2118582,269763950,1261973446
EDR  8 - Southwest,2002,180974,2182569,292139406,1311479947
EDR  8 - Southwest,2003,258070,2349751,227611116,1338631941
EDR  8 - Southwest,2004,449585,2701845,244987425.66666666,1386205986
EDR  8 - Southwest,2005,569507,2882916,252405798,1430068807
EDR  8 - Southwest,2006,432560,2814171,270935500.5,1503826411
EDR  8 - Southwest,2007,489579,2915102,280820295.6666667,1553528871
EDR  8 - Southwest,2008,684784,3221448,315700420,1646008235
EDR  8 - Southwest,2009,473006,3068204,322189816.3333333,1638289166
EDR  8 - Southwest,2010,642288,3325474,348475860,1663237280
EDR  8 - Southwest,2011,874592,3699836,313643205,1729456645
EDR  8 - Southwest,2012,963115,3872452,288971863,1787337793
EDR  8 - Southwest,2013,1149231,4158265,303073386,1869053109
EDR  8 - Southwest,2014,790487,3977786,306854544,1923074784
EDR  8 - Southwest,2015,758112,4051685,342286733,2032029093
EDR  8 - Southwest,2016,312222,3560373,341284510,2046591879
EDR  8 - Southwest,2017,368728,3666607,368966268,2124204444
EDR  9 - South Central,2001,157931,4146182,262549269,2651813248
EDR  9 - South Central,2002,166779,4368470,274444573,2737374879
EDR  9 - South Central,2003,263180,4594111,282956413,2812911730
EDR  9 - South Central,2004,496682,5031349,295557776,2941330413
EDR  9 - South Central,2005,575989,5228338,299344221,3011591932
EDR  9 - South Central,2006,489665,5371909,290203145,3184353688
EDR  9 - South Central,2007,452415,5385000,305128630,3242772111
EDR  9 - South Central,2008,642934,5598219,336182518,3377096698
EDR  9 - South Central,2009,407388,5196878,337710271,3252122100
EDR  9 - South Central,2010,534867,5507184,365313033,3335065393
EDR  9 - South Central,2011,812239,6002138,349995950,3435156304
EDR  9 - South Central,2012,971119,6435525,375671944,3621092293
EDR  9 - South Central,2013,935246,6505083,481910243,3767816431
EDR  9 - South Central,2014,625751,6518317,422684946,3939581639
EDR  9 - South Central,2015,478992,6581487,458524524.3333333,4067925731
EDR  9 - South Central,2016,104237,6323860,493958989.6666667,4205791556
EDR  9 - South Central,2017,332042,6665171,556735490.5,4409238832
EDR 10 - Southeast,2001,142707,10078045,461188607.6666667,7051762968
EDR 10 - Southeast,2002,119305,10538462,484950200,7314391530
EDR 10 - Southeast,2003,187900,11116441,504861336,7536932819
EDR 10 - Southeast,2004,391972,11888500,515944082,7920183796
EDR 10 - Southeast,2005,465161,12019780,509462114,8114744584
EDR 10 - Southeast,2006,352553,12360568,505007665,8568454139
EDR 10 - Southeast,2007,378308,12840702,515472407,8920526611
EDR 10 - Southeast,2008,456729,13381215,519194419,9266272372
EDR 10 - Southeast,2009,232582,13104725,530842528.3333333,9104039845
EDR 10 - Southeast,2010,431835,13945273,541612053,9603872602
EDR 10 - Southeast,2011,741991,14424272,564439132,9586008311
EDR 10 - Southeast,2012,962733,15295370,590863412,10030549750
EDR 10 - Southeast,2013,580083,15247636,613847483.6666666,10318075744
EDR 10 - Southeast,2014,358540,15541019,622629873,10598867440
EDR 10 - Southeast,2015,182652,16037834,674971916,11164582783
EDR 10 - Southeast,2016,-151317,16258225,712776153,11568166511
EDR 10 - Southeast,2017,45304,16882902,744536099,12084320710
EDR 11 - 7 County Twin Cities,2001,84294,91014647,796403543.3333334,66767511603
EDR 11 - 7 County Twin Cities,2002,94771,92249058,770644524.5,66784808586
EDR 11 - 7 County Twin Cities,2003,119680,95664383,816598336,68597513367
EDR 11 - 7 County Twin Cities,2004,133264,102175260,818691153,72574210852
EDR 11 - 7 County Twin Cities,2005,136942,104943961,848541881,74379206682
EDR 11 - 7 County Twin Cities,2006,128269,108443489,923354831.8333334,77690747983
EDR 11 - 7 County Twin Cities,2007,125799,114457219,1042830175,82491586289
EDR 11 - 7 County Twin Cities,2008,160805,116363140,1004819892,84473682409
EDR 11 - 7 County Twin Cities,2009,144306,109734319,1049766012,79224688986
EDR 11 - 7 County Twin Cities,2010,166572,113325291,1075747467,81509860905
EDR 11 - 7 County Twin Cities,2011,204060,119924635,1183992402,85060252743
EDR 11 - 7 County Twin Cities,2012,248599,126419121,1159822715,89014244781
EDR 11 - 7 County Twin Cities,2013,222845,130498093,1279356249,91638755748
EDR 11 - 7 County Twin Cities,2014,173671,137237608,1251177909,95598596411
EDR 11 - 7 County Twin Cities,2015,172415,143690578,1265030895,101065439446
EDR 11 - 7 County Twin Cities,2016,124912,148213866,1262411841,103885975160
EDR 11 - 7 County Twin Cities,2017,135151,154115990,1348451069,109457867502
