periodyear,naicstitle,edr,wage.type,wages
2008,"Total, All Industries",EDR 1 - Northwest,totwageYear,1185740463
2008,Crop Production,EDR 1 - Northwest,totwageYear,13600950
2008,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,607486
2008,Food Manufacturing,EDR 1 - Northwest,totwageYear,35777404
2008,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,20703128
2008,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6230975
2007,"Total, All Industries",EDR 1 - Northwest,totwageYear,1129979754
2007,Crop Production,EDR 1 - Northwest,totwageYear,12533207
2007,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,703049
2007,Food Manufacturing,EDR 1 - Northwest,totwageYear,36181201
2007,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,17768119
2007,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6888893
2006,"Total, All Industries",EDR 1 - Northwest,totwageYear,1100405326
2006,Crop Production,EDR 1 - Northwest,totwageYear,11507687
2006,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,2261839
2006,Food Manufacturing,EDR 1 - Northwest,totwageYear,34052204
2006,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,15350702
2006,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6793502
2005,"Total, All Industries",EDR 1 - Northwest,totwageYear,1081745232
2005,Crop Production,EDR 1 - Northwest,totwageYear,11567908
2005,Animal Production and Aquaculture,EDR 1 - Northwest,totwageYear,567586
2005,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,648787
2005,Food Manufacturing,EDR 1 - Northwest,totwageYear,34400921
2005,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,13230672
2005,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6381613
2004,"Total, All Industries",EDR 1 - Northwest,totwageYear,1028860581
2004,Crop Production,EDR 1 - Northwest,totwageYear,12954403
2004,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,3803762
2004,Food Manufacturing,EDR 1 - Northwest,totwageYear,35065601
2004,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,14418679
2004,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6110575
2003,"Total, All Industries",EDR 1 - Northwest,totwageYear,970998448
2003,Crop Production,EDR 1 - Northwest,totwageYear,12648299
2003,Support Activities for Crop Production,EDR 1 - Northwest,totwageYear,948506.5
2003,Food Manufacturing,EDR 1 - Northwest,totwageYear,8203907.333333333
2003,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,13255766
2003,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6197515
2002,"Total, All Industries",EDR 1 - Northwest,totwageYear,936632748
2002,Crop Production,EDR 1 - Northwest,totwageYear,11741599
2002,Food Manufacturing,EDR 1 - Northwest,totwageYear,29917848
2002,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,12588646
2002,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,6828876
2001,"Total, All Industries",EDR 1 - Northwest,totwageYear,903939350
2001,Crop Production,EDR 1 - Northwest,totwageYear,11435198
2001,Food Manufacturing,EDR 1 - Northwest,totwageYear,33099027
2001,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,totwageYear,12048617
2001,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,totwageYear,7732670
2018,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1320512991
2018,Crop Production,EDR 2 - Headwaters,totwageYear,11912439
2018,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,2030123
2018,Food Manufacturing,EDR 2 - Headwaters,totwageYear,21491091
2018,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,2619758
2017,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1254021538
2017,Crop Production,EDR 2 - Headwaters,totwageYear,11433147
2017,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1637219
2017,Food Manufacturing,EDR 2 - Headwaters,totwageYear,20933460
2017,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,2387604
2016,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1197352361
2016,Crop Production,EDR 2 - Headwaters,totwageYear,10175848
2016,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1607746
2016,Food Manufacturing,EDR 2 - Headwaters,totwageYear,20503783
2016,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,2399861
2015,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1152661947
2015,Crop Production,EDR 2 - Headwaters,totwageYear,9502740
2015,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1484435
2015,Food Manufacturing,EDR 2 - Headwaters,totwageYear,18644313
2015,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,2714415
2014,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1070120430
2014,Crop Production,EDR 2 - Headwaters,totwageYear,9004382
2014,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1405555
2014,Food Manufacturing,EDR 2 - Headwaters,totwageYear,19155296
2014,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,2182774
2013,"Total, All Industries",EDR 2 - Headwaters,totwageYear,1015950710
2013,Crop Production,EDR 2 - Headwaters,totwageYear,8724477
2013,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1328147
2013,Food Manufacturing,EDR 2 - Headwaters,totwageYear,18477527
2013,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1786138
2013,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,336561.5
2012,"Total, All Industries",EDR 2 - Headwaters,totwageYear,974078220
2012,Crop Production,EDR 2 - Headwaters,totwageYear,7739050
2012,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1250534
2012,Food Manufacturing,EDR 2 - Headwaters,totwageYear,17043349
2012,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1756855
2012,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1221507
2011,"Total, All Industries",EDR 2 - Headwaters,totwageYear,917264665
2011,Crop Production,EDR 2 - Headwaters,totwageYear,7572227
2011,Animal Production and Aquaculture,EDR 2 - Headwaters,totwageYear,217237
2011,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1341938
2011,Food Manufacturing,EDR 2 - Headwaters,totwageYear,16692677
2011,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1677419
2011,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,765114
2010,"Total, All Industries",EDR 2 - Headwaters,totwageYear,902759889
2010,Crop Production,EDR 2 - Headwaters,totwageYear,7901599
2010,Animal Production and Aquaculture,EDR 2 - Headwaters,totwageYear,152110.66666666666
2010,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1348177
2010,Food Manufacturing,EDR 2 - Headwaters,totwageYear,16195089
2010,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1459971
2010,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,195323.66666666666
2009,"Total, All Industries",EDR 2 - Headwaters,totwageYear,916395869
2009,Crop Production,EDR 2 - Headwaters,totwageYear,7233053
2009,Animal Production and Aquaculture,EDR 2 - Headwaters,totwageYear,64434
2009,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1272342
2009,Food Manufacturing,EDR 2 - Headwaters,totwageYear,16920396
2009,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1399347
2009,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,184013.5
2008,"Total, All Industries",EDR 2 - Headwaters,totwageYear,901674866
2008,Crop Production,EDR 2 - Headwaters,totwageYear,7782909
2008,Animal Production and Aquaculture,EDR 2 - Headwaters,totwageYear,228454
2008,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1183386
2008,Food Manufacturing,EDR 2 - Headwaters,totwageYear,16355021
2008,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1385716
2008,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,734899
2007,"Total, All Industries",EDR 2 - Headwaters,totwageYear,861953718
2007,Crop Production,EDR 2 - Headwaters,totwageYear,8551498
2007,Animal Production and Aquaculture,EDR 2 - Headwaters,totwageYear,81009
2007,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,1116092
2007,Food Manufacturing,EDR 2 - Headwaters,totwageYear,13520825
2007,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1351348
2006,"Total, All Industries",EDR 2 - Headwaters,totwageYear,865872680
2006,Crop Production,EDR 2 - Headwaters,totwageYear,9349418
2006,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,301840.3333333333
2006,Food Manufacturing,EDR 2 - Headwaters,totwageYear,12642314
2006,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1258862
2006,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,204820
2005,"Total, All Industries",EDR 2 - Headwaters,totwageYear,821699092
2005,Crop Production,EDR 2 - Headwaters,totwageYear,8506213
2005,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,300228
2005,Food Manufacturing,EDR 2 - Headwaters,totwageYear,12823943
2005,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1227158
2005,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,667219
2004,"Total, All Industries",EDR 2 - Headwaters,totwageYear,819912116
2004,Crop Production,EDR 2 - Headwaters,totwageYear,8919994
2004,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,402500
2004,Food Manufacturing,EDR 2 - Headwaters,totwageYear,12790500
2004,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1148617
2003,"Total, All Industries",EDR 2 - Headwaters,totwageYear,792639384
2003,Crop Production,EDR 2 - Headwaters,totwageYear,8067121
2003,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,276237
2003,Food Manufacturing,EDR 2 - Headwaters,totwageYear,3204660.6666666665
2003,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,1028414
2002,"Total, All Industries",EDR 2 - Headwaters,totwageYear,773971029
2002,Crop Production,EDR 2 - Headwaters,totwageYear,8240754
2002,Support Activities for Animal Production,EDR 2 - Headwaters,totwageYear,78319
2002,Food Manufacturing,EDR 2 - Headwaters,totwageYear,12952274
2002,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,239706
2002,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,196489.5
2001,"Total, All Industries",EDR 2 - Headwaters,totwageYear,730004290
2001,Crop Production,EDR 2 - Headwaters,totwageYear,7929714
2001,Support Activities for Crop Production,EDR 2 - Headwaters,totwageYear,112404
2001,Support Activities for Animal Production,EDR 2 - Headwaters,totwageYear,32960.333333333336
2001,Food Manufacturing,EDR 2 - Headwaters,totwageYear,12192445
2001,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,900824
2001,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,totwageYear,753889
2018,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,6488391239
2018,Crop Production,EDR 3 - Arrowhead,totwageYear,1072778
2018,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,498487
2018,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,14691338
2017,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,6190440106
2017,Crop Production,EDR 3 - Arrowhead,totwageYear,1131766
2017,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,551034
2017,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,2840280.3333333335
2016,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5932070230
2016,Crop Production,EDR 3 - Arrowhead,totwageYear,1309243
2016,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,587556
2016,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,12517455
2015,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5968500282
2015,Crop Production,EDR 3 - Arrowhead,totwageYear,1474676
2015,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,717421
2015,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,9607488
2014,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5738851893
2014,Crop Production,EDR 3 - Arrowhead,totwageYear,1117034
2014,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,829060
2014,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,9923709
2013,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5546421775
2013,Crop Production,EDR 3 - Arrowhead,totwageYear,1124231
2013,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,275781.3333333333
2013,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,12230317
2012,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5328664650
2012,Crop Production,EDR 3 - Arrowhead,totwageYear,1291367
2012,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,938217
2012,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,13431323
2011,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5232547921
2011,Crop Production,EDR 3 - Arrowhead,totwageYear,1382947
2011,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,827084
2011,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,22897
2011,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,28717832
2010,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5037180762
2010,Crop Production,EDR 3 - Arrowhead,totwageYear,1259744
2010,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,219754.33333333334
2010,Support Activities for Crop Production,EDR 3 - Arrowhead,totwageYear,66260
2010,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,22838
2010,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,10457736
2010,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,193094
2009,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4896224630
2009,Crop Production,EDR 3 - Arrowhead,totwageYear,1365641
2009,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,72546.5
2009,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,28000.5
2009,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,10950465
2009,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,58484
2008,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,5123829515
2008,Crop Production,EDR 3 - Arrowhead,totwageYear,1556400
2008,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,384804.3333333333
2008,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,17833.333333333332
2008,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,15925293
2008,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,370453.3333333333
2007,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4967156348
2007,Crop Production,EDR 3 - Arrowhead,totwageYear,279002.5
2007,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,14970
2007,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,13099741
2007,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,535096.3333333334
2007,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,58300
2006,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4731915256
2006,Crop Production,EDR 3 - Arrowhead,totwageYear,475590
2006,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,589419
2006,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,16909.333333333332
2006,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,13109285
2006,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,389222
2006,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,719097
2005,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4545837481
2005,Support Activities for Animal Production,EDR 3 - Arrowhead,totwageYear,15772
2005,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,14871602
2005,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,623085.5
2004,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4488386712
2004,Crop Production,EDR 3 - Arrowhead,totwageYear,1843559
2004,Support Activities for Crop Production,EDR 3 - Arrowhead,totwageYear,89483
2004,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,17797916
2004,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,663111
2004,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,752020
2003,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4264350905
2003,Crop Production,EDR 3 - Arrowhead,totwageYear,1620112
2003,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,19523333
2003,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,174393.33333333334
2002,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4208621545
2002,Crop Production,EDR 3 - Arrowhead,totwageYear,1526012
2002,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,98738
2002,Support Activities for Crop Production,EDR 3 - Arrowhead,totwageYear,141883
2002,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,18259344
2002,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,785545
2001,"Total, All Industries",EDR 3 - Arrowhead,totwageYear,4065299084
2001,Crop Production,EDR 3 - Arrowhead,totwageYear,1636022
2001,Animal Production and Aquaculture,EDR 3 - Arrowhead,totwageYear,125858.5
2001,Food Manufacturing,EDR 3 - Arrowhead,totwageYear,21359641
2001,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,totwageYear,223806
2018,"Total, All Industries",EDR 4 - West Central,totwageYear,3727780469
2018,Crop Production,EDR 4 - West Central,totwageYear,38690933
2018,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,69823569
2018,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,11038114
2018,Food Manufacturing,EDR 4 - West Central,totwageYear,138027152
2018,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,10423640
2018,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,41348075
2018,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,37558861
2017,"Total, All Industries",EDR 4 - West Central,totwageYear,3578405617
2017,Crop Production,EDR 4 - West Central,totwageYear,36898831
2017,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,66432766
2017,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,10519516
2017,Food Manufacturing,EDR 4 - West Central,totwageYear,135524174
2017,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,11019243
2017,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,39542762
2017,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,37133295
2016,"Total, All Industries",EDR 4 - West Central,totwageYear,3429609246
2016,Crop Production,EDR 4 - West Central,totwageYear,36289674
2016,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,52572931
2016,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,10612857
2016,Food Manufacturing,EDR 4 - West Central,totwageYear,129037709
2016,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,10551869
2016,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,45663140
2016,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,17955031
2015,"Total, All Industries",EDR 4 - West Central,totwageYear,3325958950
2015,Crop Production,EDR 4 - West Central,totwageYear,35288385
2015,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,53029650
2015,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,10569301
2015,Food Manufacturing,EDR 4 - West Central,totwageYear,119925374
2015,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,2758248
2015,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,46321014
2015,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,19701294
2014,"Total, All Industries",EDR 4 - West Central,totwageYear,3178473580
2014,Crop Production,EDR 4 - West Central,totwageYear,32452645
2014,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,48214665
2014,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,10885421
2014,Food Manufacturing,EDR 4 - West Central,totwageYear,115045327
2014,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,2739732
2014,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,45971696
2014,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,16937615
2013,"Total, All Industries",EDR 4 - West Central,totwageYear,3018476742
2013,Crop Production,EDR 4 - West Central,totwageYear,31308002
2013,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,40357333
2013,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,10544256
2013,Support Activities for Animal Production,EDR 4 - West Central,totwageYear,188953
2013,Food Manufacturing,EDR 4 - West Central,totwageYear,112717694
2013,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,2982545
2013,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,42124743
2013,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,16145257
2012,"Total, All Industries",EDR 4 - West Central,totwageYear,2894733324
2012,Crop Production,EDR 4 - West Central,totwageYear,27485935
2012,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,40996287
2012,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,9431445
2012,Support Activities for Animal Production,EDR 4 - West Central,totwageYear,915092
2012,Food Manufacturing,EDR 4 - West Central,totwageYear,113306207
2012,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,2554455
2012,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,38516186
2012,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,15065724
2011,"Total, All Industries",EDR 4 - West Central,totwageYear,2741133154
2011,Crop Production,EDR 4 - West Central,totwageYear,24106279
2011,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,35774115
2011,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,8998672
2011,Support Activities for Animal Production,EDR 4 - West Central,totwageYear,628273
2011,Food Manufacturing,EDR 4 - West Central,totwageYear,105285853
2011,Agricultural Implement Manufacturing,EDR 4 - West Central,totwageYear,2295930
2011,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,totwageYear,39501438
2011,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,totwageYear,14662734
2010,"Total, All Industries",EDR 4 - West Central,totwageYear,2638066345
2010,Crop Production,EDR 4 - West Central,totwageYear,22136289
2010,Animal Production and Aquaculture,EDR 4 - West Central,totwageYear,30818908
2010,Support Activities for Crop Production,EDR 4 - West Central,totwageYear,8624779
2010,Food Manufacturing,EDR 4 - West Central,totwageYear,100342159
