periodyear,naicstitle,areaname,wage.type,wages,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
2009,Food Manufacturing,Aitkin,totwageYear,49131,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2008,"Total, All Industries",Aitkin,totwageYear,114070339,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2008,Food Manufacturing,Aitkin,totwageYear,34147,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2007,"Total, All Industries",Aitkin,totwageYear,113726715,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2007,Crop Production,Aitkin,totwageYear,186763.5,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2007,Food Manufacturing,Aitkin,totwageYear,42725.5,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2006,"Total, All Industries",Aitkin,totwageYear,111124934,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2006,Crop Production,Aitkin,totwageYear,186708,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2006,Food Manufacturing,Aitkin,totwageYear,50992.666666666664,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2005,"Total, All Industries",Aitkin,totwageYear,106328600,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2005,Crop Production,Aitkin,totwageYear,274148,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2005,Food Manufacturing,Aitkin,totwageYear,233399,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2004,"Total, All Industries",Aitkin,totwageYear,106641989,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2004,Crop Production,Aitkin,totwageYear,262521,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2004,Food Manufacturing,Aitkin,totwageYear,53412,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2003,"Total, All Industries",Aitkin,totwageYear,100519715,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2003,Crop Production,Aitkin,totwageYear,164114,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2002,"Total, All Industries",Aitkin,totwageYear,95566859,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2002,Crop Production,Aitkin,totwageYear,143254,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2002,Food Manufacturing,Aitkin,totwageYear,52973,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2001,"Total, All Industries",Aitkin,totwageYear,88560450,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2001,Crop Production,Aitkin,totwageYear,149663,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2001,Food Manufacturing,Aitkin,totwageYear,45971,001,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2018,"Total, All Industries",Anoka,totwageYear,6706274962,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Crop Production,Anoka,totwageYear,10212314,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Support Activities for Crop Production,Anoka,totwageYear,924543,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Support Activities for Animal Production,Anoka,totwageYear,196599,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Food Manufacturing,Anoka,totwageYear,9172862,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,5168603,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,"Total, All Industries",Anoka,totwageYear,6349392923,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Crop Production,Anoka,totwageYear,10255797,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Food Manufacturing,Anoka,totwageYear,11144009,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2017,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4822298,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,"Total, All Industries",Anoka,totwageYear,6098202888,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Crop Production,Anoka,totwageYear,9479975,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Food Manufacturing,Anoka,totwageYear,11581824,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2016,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4455228,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,"Total, All Industries",Anoka,totwageYear,5938583577,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Crop Production,Anoka,totwageYear,8507007,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Animal Production and Aquaculture,Anoka,totwageYear,381215,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Food Manufacturing,Anoka,totwageYear,12303540,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4230260,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,"Total, All Industries",Anoka,totwageYear,5581512952,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Crop Production,Anoka,totwageYear,7853507,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Animal Production and Aquaculture,Anoka,totwageYear,1724003,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Food Manufacturing,Anoka,totwageYear,11639666,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Agricultural Implement Manufacturing,Anoka,totwageYear,837107,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4306039,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,"Total, All Industries",Anoka,totwageYear,5312646289,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Crop Production,Anoka,totwageYear,7333882,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Animal Production and Aquaculture,Anoka,totwageYear,1741955,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Food Manufacturing,Anoka,totwageYear,11124974,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Agricultural Implement Manufacturing,Anoka,totwageYear,3231623,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4312303,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,"Total, All Industries",Anoka,totwageYear,5066142927,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Crop Production,Anoka,totwageYear,7428077,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Animal Production and Aquaculture,Anoka,totwageYear,245127,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Support Activities for Animal Production,Anoka,totwageYear,43615,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Food Manufacturing,Anoka,totwageYear,10130561,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Agricultural Implement Manufacturing,Anoka,totwageYear,786836.3333333334,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4546105,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,"Total, All Industries",Anoka,totwageYear,4777833422,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Crop Production,Anoka,totwageYear,7073275,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Animal Production and Aquaculture,Anoka,totwageYear,55277.333333333336,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Food Manufacturing,Anoka,totwageYear,2716676,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4578843,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,"Total, All Industries",Anoka,totwageYear,4539332136,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Crop Production,Anoka,totwageYear,7357228,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Food Manufacturing,Anoka,totwageYear,10646293,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4051137,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,"Total, All Industries",Anoka,totwageYear,4539126410,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Crop Production,Anoka,totwageYear,7891503,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Food Manufacturing,Anoka,totwageYear,10572955,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,3989416,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,"Total, All Industries",Anoka,totwageYear,4804102527,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Crop Production,Anoka,totwageYear,7675603,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Food Manufacturing,Anoka,totwageYear,10730861,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,5986575,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,"Total, All Industries",Anoka,totwageYear,4849440149,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Crop Production,Anoka,totwageYear,8354219,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Food Manufacturing,Anoka,totwageYear,9992899,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,5674855,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,"Total, All Industries",Anoka,totwageYear,4700854478,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Crop Production,Anoka,totwageYear,9146447,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Food Manufacturing,Anoka,totwageYear,11210370,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,810545,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,"Total, All Industries",Anoka,totwageYear,4499022380,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Crop Production,Anoka,totwageYear,8890350,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Food Manufacturing,Anoka,totwageYear,11519056,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,778134.5,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,"Total, All Industries",Anoka,totwageYear,4345318945,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Crop Production,Anoka,totwageYear,9192845,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Food Manufacturing,Anoka,totwageYear,12062637,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,2593900,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,"Total, All Industries",Anoka,totwageYear,4120338682,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Crop Production,Anoka,totwageYear,9611975,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Food Manufacturing,Anoka,totwageYear,9915168,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,6022365,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,"Total, All Industries",Anoka,totwageYear,3938254052,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Crop Production,Anoka,totwageYear,8287131,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Support Activities for Crop Production,Anoka,totwageYear,169006,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Support Activities for Animal Production,Anoka,totwageYear,55657,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Food Manufacturing,Anoka,totwageYear,9033139,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,1179108.6666666667,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,"Total, All Industries",Anoka,totwageYear,3790154208,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Crop Production,Anoka,totwageYear,7829260,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Animal Production and Aquaculture,Anoka,totwageYear,142602.33333333334,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Food Manufacturing,Anoka,totwageYear,10616092,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Farm Supplies Merchant Wholesalers,Anoka,totwageYear,4954029,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,"Total, All Industries",Becker,totwageYear,562574854,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2018,Crop Production,Becker,totwageYear,6428733,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2018,Animal Production and Aquaculture,Becker,totwageYear,4087008,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2018,Food Manufacturing,Becker,totwageYear,949752,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2017,"Total, All Industries",Becker,totwageYear,551761987,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2017,Crop Production,Becker,totwageYear,6280478,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2017,Animal Production and Aquaculture,Becker,totwageYear,4053452,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2017,Food Manufacturing,Becker,totwageYear,948276,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2016,"Total, All Industries",Becker,totwageYear,530411377,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2016,Crop Production,Becker,totwageYear,7491525,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2016,Animal Production and Aquaculture,Becker,totwageYear,4242994,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2016,Food Manufacturing,Becker,totwageYear,816867,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2015,"Total, All Industries",Becker,totwageYear,509633775,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2015,Crop Production,Becker,totwageYear,7083968,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2015,Animal Production and Aquaculture,Becker,totwageYear,4225563,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2015,Food Manufacturing,Becker,totwageYear,188024.33333333334,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2014,"Total, All Industries",Becker,totwageYear,485988851,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2014,Crop Production,Becker,totwageYear,7131137,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2014,Animal Production and Aquaculture,Becker,totwageYear,4332837,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2014,Food Manufacturing,Becker,totwageYear,605664,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2013,"Total, All Industries",Becker,totwageYear,462797456,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2013,Crop Production,Becker,totwageYear,6545405,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2013,Animal Production and Aquaculture,Becker,totwageYear,4092765,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2013,Food Manufacturing,Becker,totwageYear,557469,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2012,"Total, All Industries",Becker,totwageYear,443379203,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2012,Crop Production,Becker,totwageYear,5516812,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2012,Animal Production and Aquaculture,Becker,totwageYear,4415562,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2012,Food Manufacturing,Becker,totwageYear,503578,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,"Total, All Industries",Becker,totwageYear,417061699,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,Crop Production,Becker,totwageYear,5472586,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,Animal Production and Aquaculture,Becker,totwageYear,5570745,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,Food Manufacturing,Becker,totwageYear,468854,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,Farm Product Raw Material Merchant Wholesalers,Becker,totwageYear,587729,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,"Total, All Industries",Becker,totwageYear,398438731,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,Crop Production,Becker,totwageYear,3946238,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,Animal Production and Aquaculture,Becker,totwageYear,4143947,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,Food Manufacturing,Becker,totwageYear,629080,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,Farm Product Raw Material Merchant Wholesalers,Becker,totwageYear,96830.33333333333,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,"Total, All Industries",Becker,totwageYear,379215399,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,Crop Production,Becker,totwageYear,3973433,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,Animal Production and Aquaculture,Becker,totwageYear,3783423,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,Food Manufacturing,Becker,totwageYear,618861,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2008,"Total, All Industries",Becker,totwageYear,385365474,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2008,Crop Production,Becker,totwageYear,3520941,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2008,Animal Production and Aquaculture,Becker,totwageYear,4173102,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2008,Food Manufacturing,Becker,totwageYear,606469,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2007,"Total, All Industries",Becker,totwageYear,380232650,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2007,Crop Production,Becker,totwageYear,778944.3333333334,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2007,Animal Production and Aquaculture,Becker,totwageYear,3682447,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2007,Food Manufacturing,Becker,totwageYear,541719,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2006,"Total, All Industries",Becker,totwageYear,362803969,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2006,Crop Production,Becker,totwageYear,2423486,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2006,Animal Production and Aquaculture,Becker,totwageYear,3686053,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2006,Food Manufacturing,Becker,totwageYear,560006,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2005,"Total, All Industries",Becker,totwageYear,343207202,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2005,Crop Production,Becker,totwageYear,545562.3333333334,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2005,Animal Production and Aquaculture,Becker,totwageYear,3299552,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2005,Food Manufacturing,Becker,totwageYear,577972,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2005,Farm Product Raw Material Merchant Wholesalers,Becker,totwageYear,330456,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2004,"Total, All Industries",Becker,totwageYear,325291014,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2004,Crop Production,Becker,totwageYear,3051033,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2004,Animal Production and Aquaculture,Becker,totwageYear,2470090,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2004,Food Manufacturing,Becker,totwageYear,544814,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2003,"Total, All Industries",Becker,totwageYear,309176709,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2003,Crop Production,Becker,totwageYear,1160985,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2003,Animal Production and Aquaculture,Becker,totwageYear,2297501,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2003,Food Manufacturing,Becker,totwageYear,1328099,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2002,"Total, All Industries",Becker,totwageYear,294830448,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2002,Crop Production,Becker,totwageYear,596908,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2002,Animal Production and Aquaculture,Becker,totwageYear,2912751,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2002,Food Manufacturing,Becker,totwageYear,1094771,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,"Total, All Industries",Becker,totwageYear,282863664,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,Crop Production,Becker,totwageYear,507162,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,Animal Production and Aquaculture,Becker,totwageYear,4403430,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2001,Food Manufacturing,Becker,totwageYear,727252,005,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2018,"Total, All Industries",Beltrami,totwageYear,853733673,007,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2017,"Total, All Industries",Beltrami,totwageYear,799479819,007,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
