periodyear,naicstitle,Dem_Desc,emp
2004,Crop Production,Entirely urban,2733
2004,Crop Production,Town/rural mix,818
2004,Crop Production,Urban/town/rural mix,1096
2004,Farm Product Raw Material Merchant Wholesalers,Entirely rural,248
2004,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2187
2004,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1318
2004,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,777
2004,Farm Supplies Merchant Wholesalers,Entirely rural,164
2004,Farm Supplies Merchant Wholesalers,Entirely urban,1109
2004,Farm Supplies Merchant Wholesalers,Town/rural mix,457
2004,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,851
2004,Food Manufacturing,Entirely rural,519
2004,Food Manufacturing,Entirely urban,14110
2004,Food Manufacturing,Town/rural mix,10066
2004,Food Manufacturing,Urban/town/rural mix,13390
2004,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,11
2004,Support Activities for Animal Production,Entirely urban,132
2004,Support Activities for Animal Production,Urban/town/rural mix,33
2004,Support Activities for Crop Production,Town/rural mix,18
2004,Support Activities for Crop Production,Urban/town/rural mix,149
2004,"Total, All Industries",Entirely rural,33218
2004,"Total, All Industries",Entirely urban,1753153
2004,"Total, All Industries",Town/rural mix,334622
2004,"Total, All Industries",Urban/town/rural mix,450018
2005,Agricultural Implement Manufacturing,Urban/town/rural mix,39
2005,Animal Production and Aquaculture,Entirely rural,349
2005,Animal Production and Aquaculture,Entirely urban,642
2005,Animal Production and Aquaculture,Town/rural mix,2963
2005,Animal Production and Aquaculture,Urban/town/rural mix,2832
2005,Crop Production,Entirely rural,343
2005,Crop Production,Entirely urban,2795
2005,Crop Production,Town/rural mix,684
2005,Crop Production,Urban/town/rural mix,987
2005,Farm Product Raw Material Merchant Wholesalers,Entirely rural,311
2005,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2415
2005,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1296
2005,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,774
2005,Farm Supplies Merchant Wholesalers,Entirely rural,108
2005,Farm Supplies Merchant Wholesalers,Entirely urban,1082
2005,Farm Supplies Merchant Wholesalers,Town/rural mix,386
2005,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,847
2005,Food Manufacturing,Entirely rural,348
2005,Food Manufacturing,Entirely urban,13532
2005,Food Manufacturing,Town/rural mix,10157
2005,Food Manufacturing,Urban/town/rural mix,14270
2005,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,7
2005,Support Activities for Animal Production,Entirely urban,139
2005,Support Activities for Animal Production,Urban/town/rural mix,45
2005,Support Activities for Crop Production,Entirely urban,11
2005,Support Activities for Crop Production,Town/rural mix,11
2005,Support Activities for Crop Production,Urban/town/rural mix,93
2005,"Total, All Industries",Entirely rural,33015
2005,"Total, All Industries",Entirely urban,1778065
2005,"Total, All Industries",Town/rural mix,337188
2005,"Total, All Industries",Urban/town/rural mix,454776
2006,Agricultural Implement Manufacturing,Entirely urban,62
2006,Agricultural Implement Manufacturing,Urban/town/rural mix,33
2006,Animal Production and Aquaculture,Entirely rural,385
2006,Animal Production and Aquaculture,Entirely urban,619
2006,Animal Production and Aquaculture,Town/rural mix,3176
2006,Animal Production and Aquaculture,Urban/town/rural mix,2915
2006,Crop Production,Entirely rural,384
2006,Crop Production,Entirely urban,3145
2006,Crop Production,Town/rural mix,810
2006,Crop Production,Urban/town/rural mix,1054
2006,Farm Product Raw Material Merchant Wholesalers,Entirely rural,323
2006,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2528
2006,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1362
2006,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,704
2006,Farm Supplies Merchant Wholesalers,Entirely rural,61
2006,Farm Supplies Merchant Wholesalers,Entirely urban,998
2006,Farm Supplies Merchant Wholesalers,Town/rural mix,354
2006,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,888
2006,Food Manufacturing,Entirely rural,51
2006,Food Manufacturing,Entirely urban,13113
2006,Food Manufacturing,Town/rural mix,10198
2006,Food Manufacturing,Urban/town/rural mix,13762
2006,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,16
2006,Support Activities for Animal Production,Entirely urban,204
2006,Support Activities for Animal Production,Urban/town/rural mix,77
2006,Support Activities for Crop Production,Town/rural mix,8
2006,Support Activities for Crop Production,Urban/town/rural mix,82
2006,"Total, All Industries",Entirely rural,33103
2006,"Total, All Industries",Entirely urban,1803373
2006,"Total, All Industries",Town/rural mix,339891
2006,"Total, All Industries",Urban/town/rural mix,463399
2007,Agricultural Implement Manufacturing,Entirely urban,48
2007,Animal Production and Aquaculture,Entirely rural,374
2007,Animal Production and Aquaculture,Entirely urban,723
2007,Animal Production and Aquaculture,Town/rural mix,3750
2007,Animal Production and Aquaculture,Urban/town/rural mix,2993
2007,Crop Production,Entirely rural,413
2007,Crop Production,Entirely urban,2856
2007,Crop Production,Town/rural mix,757
2007,Crop Production,Urban/town/rural mix,991
2007,Farm Product Raw Material Merchant Wholesalers,Entirely rural,263
2007,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2825
2007,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1363
2007,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,689
2007,Farm Supplies Merchant Wholesalers,Entirely rural,65
2007,Farm Supplies Merchant Wholesalers,Entirely urban,1016
2007,Farm Supplies Merchant Wholesalers,Town/rural mix,655
2007,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,823
2007,Food Manufacturing,Entirely rural,142
2007,Food Manufacturing,Entirely urban,13045
2007,Food Manufacturing,Town/rural mix,10566
2007,Food Manufacturing,Urban/town/rural mix,13604
2007,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,17
2007,Support Activities for Animal Production,Entirely urban,143
2007,Support Activities for Animal Production,Urban/town/rural mix,60
2007,Support Activities for Crop Production,Town/rural mix,22
2007,Support Activities for Crop Production,Urban/town/rural mix,81
2007,"Total, All Industries",Entirely rural,32708
2007,"Total, All Industries",Entirely urban,1811790
2007,"Total, All Industries",Town/rural mix,339676
2007,"Total, All Industries",Urban/town/rural mix,466561
2008,Agricultural Implement Manufacturing,Entirely urban,39
2008,Animal Production and Aquaculture,Entirely rural,358
2008,Animal Production and Aquaculture,Entirely urban,698
2008,Animal Production and Aquaculture,Town/rural mix,3895
2008,Animal Production and Aquaculture,Urban/town/rural mix,3146
2008,Crop Production,Entirely rural,307
2008,Crop Production,Entirely urban,2683
2008,Crop Production,Town/rural mix,873
2008,Crop Production,Urban/town/rural mix,1077
2008,Farm Product Raw Material Merchant Wholesalers,Entirely rural,326
2008,Farm Product Raw Material Merchant Wholesalers,Entirely urban,2726
2008,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1659
2008,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,765
2008,Farm Supplies Merchant Wholesalers,Entirely urban,747
2008,Farm Supplies Merchant Wholesalers,Town/rural mix,599
2008,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,779
2008,Food Manufacturing,Entirely rural,839
2008,Food Manufacturing,Entirely urban,12566
2008,Food Manufacturing,Town/rural mix,10536
2008,Food Manufacturing,Urban/town/rural mix,13312
2008,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,17
2008,Support Activities for Animal Production,Entirely urban,100
2008,Support Activities for Animal Production,Urban/town/rural mix,42
2008,Support Activities for Crop Production,Entirely urban,3
2008,Support Activities for Crop Production,Town/rural mix,58
2008,Support Activities for Crop Production,Urban/town/rural mix,94
2008,"Total, All Industries",Entirely rural,32886
2008,"Total, All Industries",Entirely urban,1800823
2008,"Total, All Industries",Town/rural mix,340685
2008,"Total, All Industries",Urban/town/rural mix,465415
2009,Agricultural Implement Manufacturing,Entirely urban,5
2009,Agricultural Implement Manufacturing,Urban/town/rural mix,172
2009,Animal Production and Aquaculture,Entirely rural,340
2009,Animal Production and Aquaculture,Entirely urban,712
2009,Animal Production and Aquaculture,Town/rural mix,4022
2009,Animal Production and Aquaculture,Urban/town/rural mix,3167
2009,Crop Production,Entirely rural,343
2009,Crop Production,Entirely urban,2747
2009,Crop Production,Town/rural mix,1025
2009,Crop Production,Urban/town/rural mix,1062
2009,Farm Product Raw Material Merchant Wholesalers,Entirely rural,282
2009,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3174
2009,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1749
2009,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,753
2009,Farm Supplies Merchant Wholesalers,Entirely rural,18
2009,Farm Supplies Merchant Wholesalers,Entirely urban,693
2009,Farm Supplies Merchant Wholesalers,Town/rural mix,524
2009,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,966
2009,Food Manufacturing,Entirely rural,546
2009,Food Manufacturing,Entirely urban,12745
2009,Food Manufacturing,Town/rural mix,10783
2009,Food Manufacturing,Urban/town/rural mix,13562
2009,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,20
2009,Support Activities for Animal Production,Entirely urban,69
2009,Support Activities for Animal Production,Urban/town/rural mix,49
2009,Support Activities for Crop Production,Entirely rural,4
2009,Support Activities for Crop Production,Entirely urban,10
2009,Support Activities for Crop Production,Town/rural mix,19
2009,Support Activities for Crop Production,Urban/town/rural mix,55
2009,"Total, All Industries",Entirely rural,31910
2009,"Total, All Industries",Entirely urban,1725672
2009,"Total, All Industries",Town/rural mix,329466
2009,"Total, All Industries",Urban/town/rural mix,445702
2010,Agricultural Implement Manufacturing,Town/rural mix,22
2010,Agricultural Implement Manufacturing,Urban/town/rural mix,130
2010,Animal Production and Aquaculture,Entirely rural,324
2010,Animal Production and Aquaculture,Entirely urban,704
2010,Animal Production and Aquaculture,Town/rural mix,4149
2010,Animal Production and Aquaculture,Urban/town/rural mix,3298
2010,Crop Production,Entirely rural,372
2010,Crop Production,Entirely urban,2655
2010,Crop Production,Town/rural mix,924
2010,Crop Production,Urban/town/rural mix,1203
2010,Farm Product Raw Material Merchant Wholesalers,Entirely rural,341
2010,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3396
2010,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,2001
2010,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,833
2010,Farm Supplies Merchant Wholesalers,Entirely rural,48
2010,Farm Supplies Merchant Wholesalers,Entirely urban,662
2010,Farm Supplies Merchant Wholesalers,Town/rural mix,486
2010,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,869
2010,Food Manufacturing,Entirely rural,508
2010,Food Manufacturing,Entirely urban,12901
2010,Food Manufacturing,Town/rural mix,11026
2010,Food Manufacturing,Urban/town/rural mix,13556
2010,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,23
2010,Support Activities for Animal Production,Entirely urban,66
2010,Support Activities for Animal Production,Town/rural mix,10
2010,Support Activities for Animal Production,Urban/town/rural mix,45
2010,Support Activities for Crop Production,Entirely rural,21
2010,Support Activities for Crop Production,Town/rural mix,35
2010,Support Activities for Crop Production,Urban/town/rural mix,56
2010,"Total, All Industries",Entirely rural,31839
2010,"Total, All Industries",Entirely urban,1719521
2010,"Total, All Industries",Town/rural mix,328108
2010,"Total, All Industries",Urban/town/rural mix,443991
2011,Agricultural Implement Manufacturing,Town/rural mix,68
2011,Agricultural Implement Manufacturing,Urban/town/rural mix,130
2011,Animal Production and Aquaculture,Entirely rural,381
2011,Animal Production and Aquaculture,Entirely urban,722
2011,Animal Production and Aquaculture,Town/rural mix,4104
2011,Animal Production and Aquaculture,Urban/town/rural mix,3510
2011,Crop Production,Entirely rural,407
2011,Crop Production,Entirely urban,2632
2011,Crop Production,Town/rural mix,983
2011,Crop Production,Urban/town/rural mix,1167
2011,Farm Product Raw Material Merchant Wholesalers,Entirely rural,323
2011,Farm Product Raw Material Merchant Wholesalers,Entirely urban,4026
2011,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1897
2011,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,812
2011,Farm Supplies Merchant Wholesalers,Entirely rural,15
2011,Farm Supplies Merchant Wholesalers,Entirely urban,695
2011,Farm Supplies Merchant Wholesalers,Town/rural mix,581
2011,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,786
2011,Food Manufacturing,Entirely rural,499
2011,Food Manufacturing,Entirely urban,12895
2011,Food Manufacturing,Town/rural mix,11417
2011,Food Manufacturing,Urban/town/rural mix,13609
2011,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,22
2011,Support Activities for Animal Production,Entirely urban,125
2011,Support Activities for Animal Production,Town/rural mix,18
2011,Support Activities for Animal Production,Urban/town/rural mix,12
2011,Support Activities for Crop Production,Entirely rural,18
2011,Support Activities for Crop Production,Entirely urban,45
2011,Support Activities for Crop Production,Town/rural mix,78
2011,Support Activities for Crop Production,Urban/town/rural mix,134
2011,"Total, All Industries",Entirely rural,31532
2011,"Total, All Industries",Entirely urban,1749156
2011,"Total, All Industries",Town/rural mix,330719
2011,"Total, All Industries",Urban/town/rural mix,449991
2012,Agricultural Implement Manufacturing,Entirely urban,171
2012,Agricultural Implement Manufacturing,Town/rural mix,149
2012,Agricultural Implement Manufacturing,Urban/town/rural mix,180
2012,Animal Production and Aquaculture,Entirely rural,584
2012,Animal Production and Aquaculture,Entirely urban,823
2012,Animal Production and Aquaculture,Town/rural mix,4267
2012,Animal Production and Aquaculture,Urban/town/rural mix,3863
2012,Crop Production,Entirely rural,412
2012,Crop Production,Entirely urban,2805
2012,Crop Production,Town/rural mix,1065
2012,Crop Production,Urban/town/rural mix,1352
2012,Farm Product Raw Material Merchant Wholesalers,Entirely rural,225
2012,Farm Product Raw Material Merchant Wholesalers,Entirely urban,4079
2012,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1650
2012,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,766
2012,Farm Supplies Merchant Wholesalers,Entirely rural,28
2012,Farm Supplies Merchant Wholesalers,Entirely urban,624
2012,Farm Supplies Merchant Wholesalers,Town/rural mix,468
2012,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,900
2012,Food Manufacturing,Entirely rural,462
2012,Food Manufacturing,Entirely urban,13713
2012,Food Manufacturing,Town/rural mix,11150
2012,Food Manufacturing,Urban/town/rural mix,13554
2012,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,24
2012,Support Activities for Animal Production,Entirely urban,125
2012,Support Activities for Animal Production,Urban/town/rural mix,13
2012,Support Activities for Crop Production,Entirely rural,24
2012,Support Activities for Crop Production,Entirely urban,60
2012,Support Activities for Crop Production,Town/rural mix,171
2012,Support Activities for Crop Production,Urban/town/rural mix,111
2012,"Total, All Industries",Entirely rural,31654
2012,"Total, All Industries",Entirely urban,1779822
2012,"Total, All Industries",Town/rural mix,332930
2012,"Total, All Industries",Urban/town/rural mix,456101
2013,Agricultural Implement Manufacturing,Entirely urban,185
2013,Agricultural Implement Manufacturing,Urban/town/rural mix,209
2013,Animal Production and Aquaculture,Entirely rural,690
2013,Animal Production and Aquaculture,Entirely urban,851
2013,Animal Production and Aquaculture,Town/rural mix,4266
2013,Animal Production and Aquaculture,Urban/town/rural mix,4218
2013,Crop Production,Entirely rural,494
2013,Crop Production,Entirely urban,2765
2013,Crop Production,Town/rural mix,1342
2013,Crop Production,Urban/town/rural mix,1382
2013,Farm Product Raw Material Merchant Wholesalers,Entirely rural,239
2013,Farm Product Raw Material Merchant Wholesalers,Entirely urban,4085
2013,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1724
2013,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,803
2013,Farm Supplies Merchant Wholesalers,Entirely rural,29
2013,Farm Supplies Merchant Wholesalers,Entirely urban,1236
2013,Farm Supplies Merchant Wholesalers,Town/rural mix,549
2013,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,739
2013,Food Manufacturing,Entirely rural,534
2013,Food Manufacturing,Entirely urban,14826
2013,Food Manufacturing,Town/rural mix,11552
2013,Food Manufacturing,Urban/town/rural mix,13915
2013,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,26
2013,Support Activities for Animal Production,Entirely urban,97
2013,Support Activities for Animal Production,Town/rural mix,2
2013,Support Activities for Animal Production,Urban/town/rural mix,5
2013,Support Activities for Crop Production,Entirely rural,39
2013,Support Activities for Crop Production,Entirely urban,52
2013,Support Activities for Crop Production,Town/rural mix,67
2013,Support Activities for Crop Production,Urban/town/rural mix,29
2013,"Total, All Industries",Entirely rural,31604
2013,"Total, All Industries",Entirely urban,1814001
2013,"Total, All Industries",Town/rural mix,335149
2013,"Total, All Industries",Urban/town/rural mix,462154
2014,Agricultural Implement Manufacturing,Entirely urban,153
2014,Agricultural Implement Manufacturing,Town/rural mix,38
2014,Agricultural Implement Manufacturing,Urban/town/rural mix,254
2014,Animal Production and Aquaculture,Entirely rural,654
2014,Animal Production and Aquaculture,Entirely urban,911
2014,Animal Production and Aquaculture,Town/rural mix,4329
2014,Animal Production and Aquaculture,Urban/town/rural mix,4213
2014,Crop Production,Entirely rural,478
2014,Crop Production,Entirely urban,2742
2014,Crop Production,Town/rural mix,1261
2014,Crop Production,Urban/town/rural mix,1331
2014,Farm Product Raw Material Merchant Wholesalers,Entirely rural,232
2014,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3969
2014,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1603
2014,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,884
2014,Farm Supplies Merchant Wholesalers,Entirely rural,123
2014,Farm Supplies Merchant Wholesalers,Entirely urban,1638
2014,Farm Supplies Merchant Wholesalers,Town/rural mix,636
2014,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,704
2014,Food Manufacturing,Entirely rural,342
2014,Food Manufacturing,Entirely urban,14977
2014,Food Manufacturing,Town/rural mix,11758
2014,Food Manufacturing,Urban/town/rural mix,13731
2014,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,28
2014,Support Activities for Animal Production,Entirely urban,100
2014,Support Activities for Animal Production,Town/rural mix,16
2014,Support Activities for Animal Production,Urban/town/rural mix,63
2014,Support Activities for Crop Production,Entirely rural,31
2014,Support Activities for Crop Production,Entirely urban,42
2014,Support Activities for Crop Production,Town/rural mix,95
2014,Support Activities for Crop Production,Urban/town/rural mix,89
2014,"Total, All Industries",Entirely rural,31649
2014,"Total, All Industries",Entirely urban,1837901
2014,"Total, All Industries",Town/rural mix,338062
2014,"Total, All Industries",Urban/town/rural mix,467334
2015,Agricultural Implement Manufacturing,Entirely urban,88
2015,Agricultural Implement Manufacturing,Town/rural mix,108
2015,Agricultural Implement Manufacturing,Urban/town/rural mix,330
2015,Animal Production and Aquaculture,Entirely rural,676
2015,Animal Production and Aquaculture,Entirely urban,833
2015,Animal Production and Aquaculture,Town/rural mix,4613
2015,Animal Production and Aquaculture,Urban/town/rural mix,4311
2015,Crop Production,Entirely rural,527
2015,Crop Production,Entirely urban,2752
2015,Crop Production,Town/rural mix,1294
2015,Crop Production,Urban/town/rural mix,1474
2015,Farm Product Raw Material Merchant Wholesalers,Entirely rural,295
2015,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3937
2015,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1576
2015,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,961
2015,Farm Supplies Merchant Wholesalers,Entirely rural,228
2015,Farm Supplies Merchant Wholesalers,Entirely urban,1367
2015,Farm Supplies Merchant Wholesalers,Town/rural mix,654
2015,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,800
2015,Food Manufacturing,Entirely rural,185
2015,Food Manufacturing,Entirely urban,14930
2015,Food Manufacturing,Town/rural mix,11987
2015,Food Manufacturing,Urban/town/rural mix,13802
2015,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,11
2015,Support Activities for Animal Production,Entirely urban,88
2015,Support Activities for Animal Production,Town/rural mix,3
2015,Support Activities for Animal Production,Urban/town/rural mix,109
2015,Support Activities for Crop Production,Entirely rural,61
2015,Support Activities for Crop Production,Entirely urban,43
2015,Support Activities for Crop Production,Town/rural mix,130
2015,Support Activities for Crop Production,Urban/town/rural mix,187
2015,"Total, All Industries",Entirely rural,31911
2015,"Total, All Industries",Entirely urban,1872754
2015,"Total, All Industries",Town/rural mix,339730
2015,"Total, All Industries",Urban/town/rural mix,473198
2016,Agricultural Implement Manufacturing,Entirely urban,147
2016,Agricultural Implement Manufacturing,Town/rural mix,166
2016,Agricultural Implement Manufacturing,Urban/town/rural mix,332
2016,Animal Production and Aquaculture,Entirely rural,451
2016,Animal Production and Aquaculture,Entirely urban,805
2016,Animal Production and Aquaculture,Town/rural mix,4792
2016,Animal Production and Aquaculture,Urban/town/rural mix,4217
2016,Crop Production,Entirely rural,499
2016,Crop Production,Entirely urban,2931
2016,Crop Production,Town/rural mix,1401
2016,Crop Production,Urban/town/rural mix,1547
2016,Farm Product Raw Material Merchant Wholesalers,Entirely rural,278
2016,Farm Product Raw Material Merchant Wholesalers,Entirely urban,3833
2016,Farm Product Raw Material Merchant Wholesalers,Town/rural mix,1532
2016,Farm Product Raw Material Merchant Wholesalers,Urban/town/rural mix,956
2016,Farm Supplies Merchant Wholesalers,Entirely rural,249
2016,Farm Supplies Merchant Wholesalers,Entirely urban,1393
2016,Farm Supplies Merchant Wholesalers,Town/rural mix,556
2016,Farm Supplies Merchant Wholesalers,Urban/town/rural mix,821
2016,Food Manufacturing,Entirely rural,216
2016,Food Manufacturing,Entirely urban,14783
2016,Food Manufacturing,Town/rural mix,11898
2016,Food Manufacturing,Urban/town/rural mix,13856
2016,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Entirely urban,12
2016,Support Activities for Animal Production,Entirely urban,135
2016,Support Activities for Animal Production,Town/rural mix,15
2016,Support Activities for Animal Production,Urban/town/rural mix,155
2016,Support Activities for Crop Production,Entirely rural,74
2016,Support Activities for Crop Production,Entirely urban,47
2016,Support Activities for Crop Production,Town/rural mix,97
2016,Support Activities for Crop Production,Urban/town/rural mix,159
2016,"Total, All Industries",Entirely rural,31566
