periodyear,naicstitle,areaname,emp.type,emp,agrelated.emp
2011,Animal Production and Aquaculture,EDR  2 - Headwaters,empYear,38.5,779.5
2011,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,41,779.5
2011,Food Manufacturing,EDR  2 - Headwaters,empYear,405,779.5
2011,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,63,779.5
2011,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,26,779.5
2010,Crop Production,EDR  2 - Headwaters,empYear,189,760.3333333333334
2010,Animal Production and Aquaculture,EDR  2 - Headwaters,empYear,26.666666666666668,760.3333333333334
2010,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,43,760.3333333333334
2010,Food Manufacturing,EDR  2 - Headwaters,empYear,415,760.3333333333334
2010,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,60,760.3333333333334
2010,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,26.666666666666668,760.3333333333334
2009,Crop Production,EDR  2 - Headwaters,empYear,187,765.3333333333334
2009,Animal Production and Aquaculture,EDR  2 - Headwaters,empYear,8.333333333333334,765.3333333333334
2009,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,43,765.3333333333334
2009,Food Manufacturing,EDR  2 - Headwaters,empYear,442,765.3333333333334
2009,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,60,765.3333333333334
2009,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,25,765.3333333333334
2008,Crop Production,EDR  2 - Headwaters,empYear,203,755
2008,Animal Production and Aquaculture,EDR  2 - Headwaters,empYear,8,755
2008,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,44,755
2008,Food Manufacturing,EDR  2 - Headwaters,empYear,409,755
2008,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,65,755
2008,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,26,755
2007,Crop Production,EDR  2 - Headwaters,empYear,234,720.5
2007,Animal Production and Aquaculture,EDR  2 - Headwaters,empYear,12.5,720.5
2007,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,40,720.5
2007,Food Manufacturing,EDR  2 - Headwaters,empYear,371,720.5
2007,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,63,720.5
2006,Crop Production,EDR  2 - Headwaters,empYear,264,759.6666666666666
2006,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,39.666666666666664,759.6666666666666
2006,Food Manufacturing,EDR  2 - Headwaters,empYear,359,759.6666666666666
2006,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,63,759.6666666666666
2006,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,34,759.6666666666666
2005,Crop Production,EDR  2 - Headwaters,empYear,259,862.6666666666666
2005,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,40.666666666666664,862.6666666666666
2005,Food Manufacturing,EDR  2 - Headwaters,empYear,473,862.6666666666666
2005,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,60,862.6666666666666
2005,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,30,862.6666666666666
2004,Crop Production,EDR  2 - Headwaters,empYear,278,951
2004,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,37,951
2004,Food Manufacturing,EDR  2 - Headwaters,empYear,578,951
2004,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,58,951
2003,Crop Production,EDR  2 - Headwaters,empYear,283,944.6666666666666
2003,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,41,944.6666666666666
2003,Food Manufacturing,EDR  2 - Headwaters,empYear,566.6666666666666,944.6666666666666
2003,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,54,944.6666666666666
2002,Crop Production,EDR  2 - Headwaters,empYear,284,969.3333333333334
2002,Support Activities for Animal Production,EDR  2 - Headwaters,empYear,9,969.3333333333334
2002,Food Manufacturing,EDR  2 - Headwaters,empYear,594,969.3333333333334
2002,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,48.333333333333336,969.3333333333334
2002,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,34,969.3333333333334
2001,Crop Production,EDR  2 - Headwaters,empYear,275,944
2001,Support Activities for Crop Production,EDR  2 - Headwaters,empYear,15,944
2001,Support Activities for Animal Production,EDR  2 - Headwaters,empYear,14,944
2001,Food Manufacturing,EDR  2 - Headwaters,empYear,553,944
2001,Farm Product Raw Material Merchant Wholesalers,EDR  2 - Headwaters,empYear,51,944
2001,Farm Supplies Merchant Wholesalers,EDR  2 - Headwaters,empYear,36,944
2018,Crop Production,EDR  3 - Arrowhead,empYear,70,405
2018,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,26,405
2018,Food Manufacturing,EDR  3 - Arrowhead,empYear,309,405
2017,Crop Production,EDR  3 - Arrowhead,empYear,71,382
2017,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,32,382
2017,Food Manufacturing,EDR  3 - Arrowhead,empYear,279,382
2016,Crop Production,EDR  3 - Arrowhead,empYear,80,378
2016,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,37,378
2016,Food Manufacturing,EDR  3 - Arrowhead,empYear,261,378
2015,Crop Production,EDR  3 - Arrowhead,empYear,83,374
2015,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,33,374
2015,Food Manufacturing,EDR  3 - Arrowhead,empYear,258,374
2014,Crop Production,EDR  3 - Arrowhead,empYear,77,352
2014,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,27,352
2014,Food Manufacturing,EDR  3 - Arrowhead,empYear,248,352
2013,Crop Production,EDR  3 - Arrowhead,empYear,77,420
2013,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,30,420
2013,Food Manufacturing,EDR  3 - Arrowhead,empYear,313,420
2012,Crop Production,EDR  3 - Arrowhead,empYear,88,429
2012,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,29,429
2012,Food Manufacturing,EDR  3 - Arrowhead,empYear,312,429
2011,Crop Production,EDR  3 - Arrowhead,empYear,105,468
2011,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,27,468
2011,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,5,468
2011,Food Manufacturing,EDR  3 - Arrowhead,empYear,331,468
2010,Crop Production,EDR  3 - Arrowhead,empYear,94,454.3333333333333
2010,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,24.333333333333332,454.3333333333333
2010,Support Activities for Crop Production,EDR  3 - Arrowhead,empYear,16,454.3333333333333
2010,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,4,454.3333333333333
2010,Food Manufacturing,EDR  3 - Arrowhead,empYear,309,454.3333333333333
2010,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,7,454.3333333333333
2009,Crop Production,EDR  3 - Arrowhead,empYear,97,461.8333333333333
2009,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,21,461.8333333333333
2009,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,7.5,461.8333333333333
2009,Food Manufacturing,EDR  3 - Arrowhead,empYear,328,461.8333333333333
2009,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,8.333333333333334,461.8333333333333
2008,Crop Production,EDR  3 - Arrowhead,empYear,110,558.6666666666666
2008,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,67.33333333333333,558.6666666666666
2008,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,7.666666666666667,558.6666666666666
2008,Food Manufacturing,EDR  3 - Arrowhead,empYear,344,558.6666666666666
2008,Farm Product Raw Material Merchant Wholesalers,EDR  3 - Arrowhead,empYear,29.666666666666668,558.6666666666666
2007,Crop Production,EDR  3 - Arrowhead,empYear,69.5,478
2007,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,6.5,478
2007,Food Manufacturing,EDR  3 - Arrowhead,empYear,352,478
2007,Farm Product Raw Material Merchant Wholesalers,EDR  3 - Arrowhead,empYear,41,478
2007,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,9,478
2006,Crop Production,EDR  3 - Arrowhead,empYear,123,657.5
2006,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,61,657.5
2006,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,7,657.5
2006,Food Manufacturing,EDR  3 - Arrowhead,empYear,398,657.5
2006,Farm Product Raw Material Merchant Wholesalers,EDR  3 - Arrowhead,empYear,40.5,657.5
2006,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,28,657.5
2005,Support Activities for Animal Production,EDR  3 - Arrowhead,empYear,6.666666666666667,554.6666666666666
2005,Food Manufacturing,EDR  3 - Arrowhead,empYear,501,554.6666666666666
2005,Farm Product Raw Material Merchant Wholesalers,EDR  3 - Arrowhead,empYear,47,554.6666666666666
2004,Crop Production,EDR  3 - Arrowhead,empYear,117,865
2004,Support Activities for Crop Production,EDR  3 - Arrowhead,empYear,33,865
2004,Food Manufacturing,EDR  3 - Arrowhead,empYear,627,865
2004,Farm Product Raw Material Merchant Wholesalers,EDR  3 - Arrowhead,empYear,54,865
2004,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,34,865
2003,Crop Production,EDR  3 - Arrowhead,empYear,115,819.3333333333334
2003,Food Manufacturing,EDR  3 - Arrowhead,empYear,674,819.3333333333334
2003,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,30.333333333333332,819.3333333333334
2002,Crop Production,EDR  3 - Arrowhead,empYear,115,862
2002,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,25,862
2002,Support Activities for Crop Production,EDR  3 - Arrowhead,empYear,49,862
2002,Food Manufacturing,EDR  3 - Arrowhead,empYear,638,862
2002,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,35,862
2001,Crop Production,EDR  3 - Arrowhead,empYear,111,949.5
2001,Animal Production and Aquaculture,EDR  3 - Arrowhead,empYear,29.5,949.5
2001,Food Manufacturing,EDR  3 - Arrowhead,empYear,771,949.5
2001,Farm Supplies Merchant Wholesalers,EDR  3 - Arrowhead,empYear,38,949.5
2018,Crop Production,EDR  4 - West Central,empYear,977,6864
2018,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1446,6864
2018,Support Activities for Crop Production,EDR  4 - West Central,empYear,268,6864
2018,Food Manufacturing,EDR  4 - West Central,empYear,2767,6864
2018,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,188,6864
2018,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,632,6864
2018,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,586,6864
2017,Crop Production,EDR  4 - West Central,empYear,961,6972
2017,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1409,6972
2017,Support Activities for Crop Production,EDR  4 - West Central,empYear,268,6972
2017,Food Manufacturing,EDR  4 - West Central,empYear,2874,6972
2017,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,197,6972
2017,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,635,6972
2017,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,628,6972
2016,Crop Production,EDR  4 - West Central,empYear,956,6550
2016,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1252,6550
2016,Support Activities for Crop Production,EDR  4 - West Central,empYear,273,6550
2016,Food Manufacturing,EDR  4 - West Central,empYear,2738,6550
2016,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,190,6550
2016,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,759,6550
2016,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,382,6550
2015,Crop Production,EDR  4 - West Central,empYear,966,6401
2015,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1255,6401
2015,Support Activities for Crop Production,EDR  4 - West Central,empYear,277,6401
2015,Food Manufacturing,EDR  4 - West Central,empYear,2675,6401
2015,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,61,6401
2015,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,759,6401
2015,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,408,6401
2014,Crop Production,EDR  4 - West Central,empYear,901,6288
2014,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1203,6288
2014,Support Activities for Crop Production,EDR  4 - West Central,empYear,283,6288
2014,Food Manufacturing,EDR  4 - West Central,empYear,2683,6288
2014,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,64,6288
2014,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,772,6288
2014,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,382,6288
2013,Crop Production,EDR  4 - West Central,empYear,924,6240
2013,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1140,6240
2013,Support Activities for Crop Production,EDR  4 - West Central,empYear,278,6240
2013,Support Activities for Animal Production,EDR  4 - West Central,empYear,25,6240
2013,Food Manufacturing,EDR  4 - West Central,empYear,2691,6240
2013,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,69,6240
2013,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,730,6240
2013,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,383,6240
2012,Crop Production,EDR  4 - West Central,empYear,825,6264
2012,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1172,6264
2012,Support Activities for Crop Production,EDR  4 - West Central,empYear,289,6264
2012,Support Activities for Animal Production,EDR  4 - West Central,empYear,29,6264
2012,Food Manufacturing,EDR  4 - West Central,empYear,2829,6264
2012,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,58,6264
2012,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,686,6264
2012,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,376,6264
2011,Crop Production,EDR  4 - West Central,empYear,794,5954
2011,Animal Production and Aquaculture,EDR  4 - West Central,empYear,1060,5954
2011,Support Activities for Crop Production,EDR  4 - West Central,empYear,288,5954
2011,Support Activities for Animal Production,EDR  4 - West Central,empYear,23,5954
2011,Food Manufacturing,EDR  4 - West Central,empYear,2666,5954
2011,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,50,5954
2011,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,719,5954
2011,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,354,5954
2010,Crop Production,EDR  4 - West Central,empYear,760,5757
2010,Animal Production and Aquaculture,EDR  4 - West Central,empYear,998,5757
2010,Support Activities for Crop Production,EDR  4 - West Central,empYear,278,5757
2010,Food Manufacturing,EDR  4 - West Central,empYear,2622,5757
2010,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,47,5757
2010,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,701,5757
2010,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,351,5757
2009,Crop Production,EDR  4 - West Central,empYear,731,5589
2009,Animal Production and Aquaculture,EDR  4 - West Central,empYear,971,5589
2009,Support Activities for Crop Production,EDR  4 - West Central,empYear,255,5589
2009,Food Manufacturing,EDR  4 - West Central,empYear,2513,5589
2009,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,14,5589
2009,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,40,5589
2009,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,691,5589
2009,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,374,5589
2008,Crop Production,EDR  4 - West Central,empYear,770,5406
2008,Animal Production and Aquaculture,EDR  4 - West Central,empYear,948,5406
2008,Support Activities for Crop Production,EDR  4 - West Central,empYear,270,5406
2008,Food Manufacturing,EDR  4 - West Central,empYear,2413,5406
2008,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,15,5406
2008,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,640,5406
2008,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,350,5406
2007,Crop Production,EDR  4 - West Central,empYear,713,5166
2007,Animal Production and Aquaculture,EDR  4 - West Central,empYear,884,5166
2007,Support Activities for Crop Production,EDR  4 - West Central,empYear,239,5166
2007,Food Manufacturing,EDR  4 - West Central,empYear,2324,5166
2007,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,14,5166
2007,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,88,5166
2007,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,548,5166
2007,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,356,5166
2006,Crop Production,EDR  4 - West Central,empYear,654,4923
2006,Animal Production and Aquaculture,EDR  4 - West Central,empYear,850,4923
2006,Support Activities for Crop Production,EDR  4 - West Central,empYear,226,4923
2006,Food Manufacturing,EDR  4 - West Central,empYear,2251,4923
2006,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,20,4923
2006,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,642,4923
2006,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,280,4923
2005,Crop Production,EDR  4 - West Central,empYear,606,4696
2005,Animal Production and Aquaculture,EDR  4 - West Central,empYear,761,4696
2005,Support Activities for Crop Production,EDR  4 - West Central,empYear,204,4696
2005,Food Manufacturing,EDR  4 - West Central,empYear,2152,4696
2005,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,23,4696
2005,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,88,4696
2005,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,594,4696
2005,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,268,4696
2004,Crop Production,EDR  4 - West Central,empYear,602,4802
2004,Animal Production and Aquaculture,EDR  4 - West Central,empYear,759,4802
2004,Support Activities for Crop Production,EDR  4 - West Central,empYear,207,4802
2004,Food Manufacturing,EDR  4 - West Central,empYear,2292,4802
2004,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,17,4802
2004,Agricultural Implement Manufacturing,EDR  4 - West Central,empYear,88,4802
2004,Farm Product Raw Material Merchant Wholesalers,EDR  4 - West Central,empYear,556,4802
2004,Farm Supplies Merchant Wholesalers,EDR  4 - West Central,empYear,281,4802
2003,Crop Production,EDR  4 - West Central,empYear,547,4742.333333333333
2003,Animal Production and Aquaculture,EDR  4 - West Central,empYear,736,4742.333333333333
2003,Support Activities for Crop Production,EDR  4 - West Central,empYear,179,4742.333333333333
2003,Food Manufacturing,EDR  4 - West Central,empYear,2323,4742.333333333333
2003,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",EDR  4 - West Central,empYear,9.333333333333334,4742.333333333333
