periodyear,naicstitle,edr,emp.break,emp,planning.region
2011,Food Manufacturing,EDR 1 - Northwest,empYear,911,Northwest
2011,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,468,Northwest
2011,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,135,Northwest
2010,"Total, All Industries",EDR 1 - Northwest,empYear,36064,Northwest
2010,Crop Production,EDR 1 - Northwest,empYear,558,Northwest
2010,Food Manufacturing,EDR 1 - Northwest,empYear,966,Northwest
2010,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,468,Northwest
2010,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,47,Northwest
2009,"Total, All Industries",EDR 1 - Northwest,empYear,36279,Northwest
2009,Crop Production,EDR 1 - Northwest,empYear,518,Northwest
2009,Food Manufacturing,EDR 1 - Northwest,empYear,946,Northwest
2009,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,479,Northwest
2009,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,217,Northwest
2008,"Total, All Industries",EDR 1 - Northwest,empYear,37285,Northwest
2008,Crop Production,EDR 1 - Northwest,empYear,482,Northwest
2008,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,23,Northwest
2008,Food Manufacturing,EDR 1 - Northwest,empYear,899,Northwest
2008,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,484,Northwest
2008,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,225,Northwest
2007,"Total, All Industries",EDR 1 - Northwest,empYear,37057,Northwest
2007,Crop Production,EDR 1 - Northwest,empYear,449,Northwest
2007,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,73,Northwest
2007,Food Manufacturing,EDR 1 - Northwest,empYear,933,Northwest
2007,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,454,Northwest
2007,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,238,Northwest
2006,"Total, All Industries",EDR 1 - Northwest,empYear,37541,Northwest
2006,Crop Production,EDR 1 - Northwest,empYear,446,Northwest
2006,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,107,Northwest
2006,Food Manufacturing,EDR 1 - Northwest,empYear,1004,Northwest
2006,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,416,Northwest
2006,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,255,Northwest
2005,"Total, All Industries",EDR 1 - Northwest,empYear,37332,Northwest
2005,Crop Production,EDR 1 - Northwest,empYear,476,Northwest
2005,Animal Production and Aquaculture,EDR 1 - Northwest,empYear,45,Northwest
2005,Support Activities for Crop Production,EDR 1 - Northwest,empYear,22,Northwest
2005,Food Manufacturing,EDR 1 - Northwest,empYear,971,Northwest
2005,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,386,Northwest
2005,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,255,Northwest
2004,"Total, All Industries",EDR 1 - Northwest,empYear,37009,Northwest
2004,Crop Production,EDR 1 - Northwest,empYear,528,Northwest
2004,Support Activities for Crop Production,EDR 1 - Northwest,empYear,132,Northwest
2004,Food Manufacturing,EDR 1 - Northwest,empYear,951,Northwest
2004,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,409,Northwest
2004,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,238,Northwest
2003,"Total, All Industries",EDR 1 - Northwest,empYear,36544,Northwest
2003,Crop Production,EDR 1 - Northwest,empYear,525,Northwest
2003,Support Activities for Crop Production,EDR 1 - Northwest,empYear,57,Northwest
2003,Food Manufacturing,EDR 1 - Northwest,empYear,569,Northwest
2003,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,403,Northwest
2003,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,245,Northwest
2002,"Total, All Industries",EDR 1 - Northwest,empYear,36028,Northwest
2002,Crop Production,EDR 1 - Northwest,empYear,474,Northwest
2002,Food Manufacturing,EDR 1 - Northwest,empYear,855,Northwest
2002,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,387,Northwest
2002,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,268,Northwest
2001,"Total, All Industries",EDR 1 - Northwest,empYear,36026,Northwest
2001,Crop Production,EDR 1 - Northwest,empYear,470,Northwest
2001,Food Manufacturing,EDR 1 - Northwest,empYear,953,Northwest
2001,Farm Product Raw Material Merchant Wholesalers,EDR 1 - Northwest,empYear,373,Northwest
2001,Farm Supplies Merchant Wholesalers,EDR 1 - Northwest,empYear,322,Northwest
2018,"Total, All Industries",EDR 2 - Headwaters,empYear,32345,Northwest
2018,Crop Production,EDR 2 - Headwaters,empYear,297,Northwest
2018,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,41,Northwest
2018,Food Manufacturing,EDR 2 - Headwaters,empYear,479,Northwest
2018,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,56,Northwest
2017,"Total, All Industries",EDR 2 - Headwaters,empYear,31757,Northwest
2017,Crop Production,EDR 2 - Headwaters,empYear,295,Northwest
2017,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,38,Northwest
2017,Food Manufacturing,EDR 2 - Headwaters,empYear,498,Northwest
2017,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,59,Northwest
2016,"Total, All Industries",EDR 2 - Headwaters,empYear,31594,Northwest
2016,Crop Production,EDR 2 - Headwaters,empYear,256,Northwest
2016,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,39,Northwest
2016,Food Manufacturing,EDR 2 - Headwaters,empYear,480,Northwest
2016,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,59,Northwest
2015,"Total, All Industries",EDR 2 - Headwaters,empYear,31048,Northwest
2015,Crop Production,EDR 2 - Headwaters,empYear,261,Northwest
2015,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,37,Northwest
2015,Food Manufacturing,EDR 2 - Headwaters,empYear,469,Northwest
2015,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,69,Northwest
2014,"Total, All Industries",EDR 2 - Headwaters,empYear,30655,Northwest
2014,Crop Production,EDR 2 - Headwaters,empYear,256,Northwest
2014,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,37,Northwest
2014,Food Manufacturing,EDR 2 - Headwaters,empYear,511,Northwest
2014,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,67,Northwest
2013,"Total, All Industries",EDR 2 - Headwaters,empYear,30102,Northwest
2013,Crop Production,EDR 2 - Headwaters,empYear,229,Northwest
2013,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,39,Northwest
2013,Food Manufacturing,EDR 2 - Headwaters,empYear,514,Northwest
2013,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,62,Northwest
2013,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,15,Northwest
2012,"Total, All Industries",EDR 2 - Headwaters,empYear,29581,Northwest
2012,Crop Production,EDR 2 - Headwaters,empYear,218,Northwest
2012,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,37,Northwest
2012,Food Manufacturing,EDR 2 - Headwaters,empYear,439,Northwest
2012,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,62,Northwest
2012,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,33,Northwest
2011,"Total, All Industries",EDR 2 - Headwaters,empYear,28845,Northwest
2011,Crop Production,EDR 2 - Headwaters,empYear,206,Northwest
2011,Animal Production and Aquaculture,EDR 2 - Headwaters,empYear,15,Northwest
2011,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,41,Northwest
2011,Food Manufacturing,EDR 2 - Headwaters,empYear,405,Northwest
2011,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,63,Northwest
2011,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,26,Northwest
2010,"Total, All Industries",EDR 2 - Headwaters,empYear,28817,Northwest
2010,Crop Production,EDR 2 - Headwaters,empYear,189,Northwest
2010,Animal Production and Aquaculture,EDR 2 - Headwaters,empYear,16,Northwest
2010,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,43,Northwest
2010,Food Manufacturing,EDR 2 - Headwaters,empYear,415,Northwest
2010,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,60,Northwest
2010,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,16,Northwest
2009,"Total, All Industries",EDR 2 - Headwaters,empYear,29015,Northwest
2009,Crop Production,EDR 2 - Headwaters,empYear,187,Northwest
2009,Animal Production and Aquaculture,EDR 2 - Headwaters,empYear,5,Northwest
2009,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,43,Northwest
2009,Food Manufacturing,EDR 2 - Headwaters,empYear,442,Northwest
2009,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,60,Northwest
2009,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,10,Northwest
2008,"Total, All Industries",EDR 2 - Headwaters,empYear,29925,Northwest
2008,Crop Production,EDR 2 - Headwaters,empYear,203,Northwest
2008,Animal Production and Aquaculture,EDR 2 - Headwaters,empYear,8,Northwest
2008,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,44,Northwest
2008,Food Manufacturing,EDR 2 - Headwaters,empYear,409,Northwest
2008,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,65,Northwest
2008,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,26,Northwest
2007,"Total, All Industries",EDR 2 - Headwaters,empYear,29773,Northwest
2007,Crop Production,EDR 2 - Headwaters,empYear,234,Northwest
2007,Animal Production and Aquaculture,EDR 2 - Headwaters,empYear,5,Northwest
2007,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,40,Northwest
2007,Food Manufacturing,EDR 2 - Headwaters,empYear,371,Northwest
2007,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,63,Northwest
2006,"Total, All Industries",EDR 2 - Headwaters,empYear,30307,Northwest
2006,Crop Production,EDR 2 - Headwaters,empYear,264,Northwest
2006,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,24,Northwest
2006,Food Manufacturing,EDR 2 - Headwaters,empYear,359,Northwest
2006,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,63,Northwest
2006,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,7,Northwest
2005,"Total, All Industries",EDR 2 - Headwaters,empYear,30316,Northwest
2005,Crop Production,EDR 2 - Headwaters,empYear,259,Northwest
2005,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,24,Northwest
2005,Food Manufacturing,EDR 2 - Headwaters,empYear,473,Northwest
2005,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,60,Northwest
2005,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,30,Northwest
2004,"Total, All Industries",EDR 2 - Headwaters,empYear,30358,Northwest
2004,Crop Production,EDR 2 - Headwaters,empYear,278,Northwest
2004,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,7,Northwest
2004,Food Manufacturing,EDR 2 - Headwaters,empYear,578,Northwest
2004,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,58,Northwest
2003,"Total, All Industries",EDR 2 - Headwaters,empYear,30243,Northwest
2003,Crop Production,EDR 2 - Headwaters,empYear,283,Northwest
2003,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,16,Northwest
2003,Food Manufacturing,EDR 2 - Headwaters,empYear,340,Northwest
2003,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,54,Northwest
2002,"Total, All Industries",EDR 2 - Headwaters,empYear,30567,Northwest
2002,Crop Production,EDR 2 - Headwaters,empYear,284,Northwest
2002,Support Activities for Animal Production,EDR 2 - Headwaters,empYear,9,Northwest
2002,Food Manufacturing,EDR 2 - Headwaters,empYear,594,Northwest
2002,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,29,Northwest
2002,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,14,Northwest
2001,"Total, All Industries",EDR 2 - Headwaters,empYear,29908,Northwest
2001,Crop Production,EDR 2 - Headwaters,empYear,275,Northwest
2001,Support Activities for Crop Production,EDR 2 - Headwaters,empYear,3,Northwest
2001,Support Activities for Animal Production,EDR 2 - Headwaters,empYear,8,Northwest
2001,Food Manufacturing,EDR 2 - Headwaters,empYear,553,Northwest
2001,Farm Product Raw Material Merchant Wholesalers,EDR 2 - Headwaters,empYear,51,Northwest
2001,Farm Supplies Merchant Wholesalers,EDR 2 - Headwaters,empYear,36,Northwest
2018,"Total, All Industries",EDR 3 - Arrowhead,empYear,143648,Northeast
2018,Crop Production,EDR 3 - Arrowhead,empYear,70,Northeast
2018,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,26,Northeast
2018,Food Manufacturing,EDR 3 - Arrowhead,empYear,309,Northeast
2017,"Total, All Industries",EDR 3 - Arrowhead,empYear,143362,Northeast
2017,Crop Production,EDR 3 - Arrowhead,empYear,71,Northeast
2017,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,32,Northeast
2017,Food Manufacturing,EDR 3 - Arrowhead,empYear,167,Northeast
2016,"Total, All Industries",EDR 3 - Arrowhead,empYear,141873,Northeast
2016,Crop Production,EDR 3 - Arrowhead,empYear,80,Northeast
2016,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,37,Northeast
2016,Food Manufacturing,EDR 3 - Arrowhead,empYear,261,Northeast
2015,"Total, All Industries",EDR 3 - Arrowhead,empYear,142731,Northeast
2015,Crop Production,EDR 3 - Arrowhead,empYear,83,Northeast
2015,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,33,Northeast
2015,Food Manufacturing,EDR 3 - Arrowhead,empYear,258,Northeast
2014,"Total, All Industries",EDR 3 - Arrowhead,empYear,141610,Northeast
2014,Crop Production,EDR 3 - Arrowhead,empYear,77,Northeast
2014,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,27,Northeast
2014,Food Manufacturing,EDR 3 - Arrowhead,empYear,248,Northeast
2013,"Total, All Industries",EDR 3 - Arrowhead,empYear,140321,Northeast
2013,Crop Production,EDR 3 - Arrowhead,empYear,77,Northeast
2013,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,18,Northeast
2013,Food Manufacturing,EDR 3 - Arrowhead,empYear,313,Northeast
2012,"Total, All Industries",EDR 3 - Arrowhead,empYear,138502,Northeast
2012,Crop Production,EDR 3 - Arrowhead,empYear,88,Northeast
2012,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,29,Northeast
2012,Food Manufacturing,EDR 3 - Arrowhead,empYear,312,Northeast
2011,"Total, All Industries",EDR 3 - Arrowhead,empYear,137823,Northeast
2011,Crop Production,EDR 3 - Arrowhead,empYear,105,Northeast
2011,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,27,Northeast
2011,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,1,Northeast
2011,Food Manufacturing,EDR 3 - Arrowhead,empYear,331,Northeast
2010,"Total, All Industries",EDR 3 - Arrowhead,empYear,137438,Northeast
2010,Crop Production,EDR 3 - Arrowhead,empYear,94,Northeast
2010,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,15,Northeast
2010,Support Activities for Crop Production,EDR 3 - Arrowhead,empYear,3,Northeast
2010,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,1,Northeast
2010,Food Manufacturing,EDR 3 - Arrowhead,empYear,309,Northeast
2010,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,7,Northeast
2009,"Total, All Industries",EDR 3 - Arrowhead,empYear,136744,Northeast
2009,Crop Production,EDR 3 - Arrowhead,empYear,97,Northeast
2009,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,8,Northeast
2009,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,3,Northeast
2009,Food Manufacturing,EDR 3 - Arrowhead,empYear,328,Northeast
2009,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,5,Northeast
2008,"Total, All Industries",EDR 3 - Arrowhead,empYear,142368,Northeast
2008,Crop Production,EDR 3 - Arrowhead,empYear,110,Northeast
2008,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,40,Northeast
2008,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,5,Northeast
2008,Food Manufacturing,EDR 3 - Arrowhead,empYear,344,Northeast
2008,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,empYear,18,Northeast
2007,"Total, All Industries",EDR 3 - Arrowhead,empYear,142425,Northeast
2007,Crop Production,EDR 3 - Arrowhead,empYear,28,Northeast
2007,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,3,Northeast
2007,Food Manufacturing,EDR 3 - Arrowhead,empYear,352,Northeast
2007,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,empYear,25,Northeast
2007,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,5,Northeast
2006,"Total, All Industries",EDR 3 - Arrowhead,empYear,141637,Northeast
2006,Crop Production,EDR 3 - Arrowhead,empYear,49,Northeast
2006,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,12,Northeast
2006,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,4,Northeast
2006,Food Manufacturing,EDR 3 - Arrowhead,empYear,398,Northeast
2006,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,empYear,16,Northeast
2006,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,28,Northeast
2005,"Total, All Industries",EDR 3 - Arrowhead,empYear,140024,Northeast
2005,Support Activities for Animal Production,EDR 3 - Arrowhead,empYear,4,Northeast
2005,Food Manufacturing,EDR 3 - Arrowhead,empYear,501,Northeast
2005,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,empYear,19,Northeast
2004,"Total, All Industries",EDR 3 - Arrowhead,empYear,138634,Northeast
2004,Crop Production,EDR 3 - Arrowhead,empYear,117,Northeast
2004,Support Activities for Crop Production,EDR 3 - Arrowhead,empYear,7,Northeast
2004,Food Manufacturing,EDR 3 - Arrowhead,empYear,627,Northeast
2004,Farm Product Raw Material Merchant Wholesalers,EDR 3 - Arrowhead,empYear,11,Northeast
2004,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,34,Northeast
2003,"Total, All Industries",EDR 3 - Arrowhead,empYear,137524,Northeast
2003,Crop Production,EDR 3 - Arrowhead,empYear,115,Northeast
2003,Food Manufacturing,EDR 3 - Arrowhead,empYear,674,Northeast
2003,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,18,Northeast
2002,"Total, All Industries",EDR 3 - Arrowhead,empYear,138678,Northeast
2002,Crop Production,EDR 3 - Arrowhead,empYear,115,Northeast
2002,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,5,Northeast
2002,Support Activities for Crop Production,EDR 3 - Arrowhead,empYear,10,Northeast
2002,Food Manufacturing,EDR 3 - Arrowhead,empYear,638,Northeast
2002,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,35,Northeast
2001,"Total, All Industries",EDR 3 - Arrowhead,empYear,139017,Northeast
2001,Crop Production,EDR 3 - Arrowhead,empYear,111,Northeast
2001,Animal Production and Aquaculture,EDR 3 - Arrowhead,empYear,12,Northeast
2001,Food Manufacturing,EDR 3 - Arrowhead,empYear,771,Northeast
2001,Farm Supplies Merchant Wholesalers,EDR 3 - Arrowhead,empYear,8,Northeast
2018,"Total, All Industries",EDR 4 - West Central,empYear,90476,Northwest
2018,Crop Production,EDR 4 - West Central,empYear,973,Northwest
2018,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1446,Northwest
2018,Support Activities for Crop Production,EDR 4 - West Central,empYear,269,Northwest
2018,Food Manufacturing,EDR 4 - West Central,empYear,2767,Northwest
2018,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,188,Northwest
2018,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,632,Northwest
2018,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,586,Northwest
2017,"Total, All Industries",EDR 4 - West Central,empYear,90036,Northwest
2017,Crop Production,EDR 4 - West Central,empYear,961,Northwest
2017,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1409,Northwest
2017,Support Activities for Crop Production,EDR 4 - West Central,empYear,268,Northwest
2017,Food Manufacturing,EDR 4 - West Central,empYear,2874,Northwest
2017,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,197,Northwest
2017,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,635,Northwest
2017,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,628,Northwest
2016,"Total, All Industries",EDR 4 - West Central,empYear,88636,Northwest
2016,Crop Production,EDR 4 - West Central,empYear,956,Northwest
2016,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1252,Northwest
2016,Support Activities for Crop Production,EDR 4 - West Central,empYear,273,Northwest
2016,Food Manufacturing,EDR 4 - West Central,empYear,2738,Northwest
2016,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,190,Northwest
2016,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,759,Northwest
2016,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,382,Northwest
2015,"Total, All Industries",EDR 4 - West Central,empYear,87860,Northwest
2015,Crop Production,EDR 4 - West Central,empYear,966,Northwest
2015,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1255,Northwest
2015,Support Activities for Crop Production,EDR 4 - West Central,empYear,277,Northwest
2015,Food Manufacturing,EDR 4 - West Central,empYear,2675,Northwest
2015,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,61,Northwest
2015,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,759,Northwest
2015,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,408,Northwest
2014,"Total, All Industries",EDR 4 - West Central,empYear,87189,Northwest
2014,Crop Production,EDR 4 - West Central,empYear,901,Northwest
2014,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1203,Northwest
2014,Support Activities for Crop Production,EDR 4 - West Central,empYear,283,Northwest
2014,Food Manufacturing,EDR 4 - West Central,empYear,2683,Northwest
2014,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,64,Northwest
2014,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,772,Northwest
2014,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,382,Northwest
2013,"Total, All Industries",EDR 4 - West Central,empYear,86324,Northwest
2013,Crop Production,EDR 4 - West Central,empYear,924,Northwest
2013,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1140,Northwest
2013,Support Activities for Crop Production,EDR 4 - West Central,empYear,278,Northwest
2013,Support Activities for Animal Production,EDR 4 - West Central,empYear,5,Northwest
2013,Food Manufacturing,EDR 4 - West Central,empYear,2691,Northwest
2013,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,69,Northwest
2013,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,730,Northwest
2013,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,383,Northwest
2012,"Total, All Industries",EDR 4 - West Central,empYear,85030,Northwest
2012,Crop Production,EDR 4 - West Central,empYear,825,Northwest
2012,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1172,Northwest
2012,Support Activities for Crop Production,EDR 4 - West Central,empYear,289,Northwest
2012,Support Activities for Animal Production,EDR 4 - West Central,empYear,29,Northwest
2012,Food Manufacturing,EDR 4 - West Central,empYear,2829,Northwest
2012,Agricultural Implement Manufacturing,EDR 4 - West Central,empYear,58,Northwest
2012,Farm Product Raw Material Merchant Wholesalers,EDR 4 - West Central,empYear,686,Northwest
2012,Farm Supplies Merchant Wholesalers,EDR 4 - West Central,empYear,376,Northwest
2011,"Total, All Industries",EDR 4 - West Central,empYear,83336,Northwest
2011,Crop Production,EDR 4 - West Central,empYear,794,Northwest
2011,Animal Production and Aquaculture,EDR 4 - West Central,empYear,1060,Northwest
2011,Support Activities for Crop Production,EDR 4 - West Central,empYear,288,Northwest
