periodyear,naicstitle,Name,emp.break,emp,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
2015,"Total, All Industries",Anoka,empYear,118624,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Crop Production,Anoka,empYear,317,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Animal Production and Aquaculture,Anoka,empYear,16,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Food Manufacturing,Anoka,empYear,286,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2015,Farm Supplies Merchant Wholesalers,Anoka,empYear,47,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,"Total, All Industries",Anoka,empYear,116843,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Crop Production,Anoka,empYear,296,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Animal Production and Aquaculture,Anoka,empYear,50,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Food Manufacturing,Anoka,empYear,282,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Agricultural Implement Manufacturing,Anoka,empYear,41,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2014,Farm Supplies Merchant Wholesalers,Anoka,empYear,49,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,"Total, All Industries",Anoka,empYear,114738,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Crop Production,Anoka,empYear,286,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Animal Production and Aquaculture,Anoka,empYear,41,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Food Manufacturing,Anoka,empYear,247,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Agricultural Implement Manufacturing,Anoka,empYear,67,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2013,Farm Supplies Merchant Wholesalers,Anoka,empYear,58,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,"Total, All Industries",Anoka,empYear,111082,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Crop Production,Anoka,empYear,289,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Animal Production and Aquaculture,Anoka,empYear,9,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Support Activities for Animal Production,Anoka,empYear,2,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Food Manufacturing,Anoka,empYear,251,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Agricultural Implement Manufacturing,Anoka,empYear,38,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2012,Farm Supplies Merchant Wholesalers,Anoka,empYear,61,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,"Total, All Industries",Anoka,empYear,107499,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Crop Production,Anoka,empYear,283,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Animal Production and Aquaculture,Anoka,empYear,4,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Food Manufacturing,Anoka,empYear,103,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,Farm Supplies Merchant Wholesalers,Anoka,empYear,60,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,"Total, All Industries",Anoka,empYear,105319,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Crop Production,Anoka,empYear,292,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Food Manufacturing,Anoka,empYear,267,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,Farm Supplies Merchant Wholesalers,Anoka,empYear,55,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,"Total, All Industries",Anoka,empYear,107642,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Crop Production,Anoka,empYear,287,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Food Manufacturing,Anoka,empYear,286,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,Farm Supplies Merchant Wholesalers,Anoka,empYear,54,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,"Total, All Industries",Anoka,empYear,113970,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Crop Production,Anoka,empYear,291,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Food Manufacturing,Anoka,empYear,302,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2008,Farm Supplies Merchant Wholesalers,Anoka,empYear,83,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,"Total, All Industries",Anoka,empYear,116207,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Crop Production,Anoka,empYear,318,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Food Manufacturing,Anoka,empYear,294,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2007,Farm Supplies Merchant Wholesalers,Anoka,empYear,83,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,"Total, All Industries",Anoka,empYear,115825,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Crop Production,Anoka,empYear,336,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Food Manufacturing,Anoka,empYear,313,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2006,Farm Supplies Merchant Wholesalers,Anoka,empYear,23,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,"Total, All Industries",Anoka,empYear,114447,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Crop Production,Anoka,empYear,345,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Food Manufacturing,Anoka,empYear,326,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2005,Farm Supplies Merchant Wholesalers,Anoka,empYear,15,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,"Total, All Industries",Anoka,empYear,112051,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Crop Production,Anoka,empYear,350,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Food Manufacturing,Anoka,empYear,323,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2004,Farm Supplies Merchant Wholesalers,Anoka,empYear,34,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,"Total, All Industries",Anoka,empYear,110423,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Crop Production,Anoka,empYear,351,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Food Manufacturing,Anoka,empYear,329,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2003,Farm Supplies Merchant Wholesalers,Anoka,empYear,100,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,"Total, All Industries",Anoka,empYear,108687,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Crop Production,Anoka,empYear,318,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Support Activities for Crop Production,Anoka,empYear,7,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Support Activities for Animal Production,Anoka,empYear,2,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Food Manufacturing,Anoka,empYear,290,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2002,Farm Supplies Merchant Wholesalers,Anoka,empYear,49,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,"Total, All Industries",Anoka,empYear,109590,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Crop Production,Anoka,empYear,315,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Animal Production and Aquaculture,Anoka,empYear,12,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Food Manufacturing,Anoka,empYear,342,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2001,Farm Supplies Merchant Wholesalers,Anoka,empYear,88,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2018,"Total, All Industries",Becker,empYear,14514,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2018,Crop Production,Becker,empYear,147,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2018,Animal Production and Aquaculture,Becker,empYear,143,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2018,Food Manufacturing,Becker,empYear,23,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2017,"Total, All Industries",Becker,empYear,14367,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2017,Crop Production,Becker,empYear,146,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2017,Animal Production and Aquaculture,Becker,empYear,146,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2017,Food Manufacturing,Becker,empYear,25,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2016,"Total, All Industries",Becker,empYear,14320,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2016,Crop Production,Becker,empYear,193,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2016,Animal Production and Aquaculture,Becker,empYear,157,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2016,Food Manufacturing,Becker,empYear,26,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2015,"Total, All Industries",Becker,empYear,14148,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2015,Crop Production,Becker,empYear,196,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2015,Animal Production and Aquaculture,Becker,empYear,168,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2015,Food Manufacturing,Becker,empYear,14,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2014,"Total, All Industries",Becker,empYear,13888,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2014,Crop Production,Becker,empYear,179,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2014,Animal Production and Aquaculture,Becker,empYear,184,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2014,Food Manufacturing,Becker,empYear,21,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2013,"Total, All Industries",Becker,empYear,13752,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2013,Crop Production,Becker,empYear,191,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2013,Animal Production and Aquaculture,Becker,empYear,183,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2013,Food Manufacturing,Becker,empYear,19,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2012,"Total, All Industries",Becker,empYear,13550,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2012,Crop Production,Becker,empYear,168,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2012,Animal Production and Aquaculture,Becker,empYear,173,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2012,Food Manufacturing,Becker,empYear,17,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2011,"Total, All Industries",Becker,empYear,13175,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2011,Crop Production,Becker,empYear,174,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2011,Animal Production and Aquaculture,Becker,empYear,189,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2011,Food Manufacturing,Becker,empYear,17,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2011,Farm Product Raw Material Merchant Wholesalers,Becker,empYear,16,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2010,"Total, All Industries",Becker,empYear,12877,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2010,Crop Production,Becker,empYear,161,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2010,Animal Production and Aquaculture,Becker,empYear,174,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2010,Food Manufacturing,Becker,empYear,23,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2010,Farm Product Raw Material Merchant Wholesalers,Becker,empYear,10,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2009,"Total, All Industries",Becker,empYear,12641,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2009,Crop Production,Becker,empYear,158,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2009,Animal Production and Aquaculture,Becker,empYear,185,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2009,Food Manufacturing,Becker,empYear,21,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2008,"Total, All Industries",Becker,empYear,12885,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2008,Crop Production,Becker,empYear,161,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2008,Animal Production and Aquaculture,Becker,empYear,214,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2008,Food Manufacturing,Becker,empYear,21,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2007,"Total, All Industries",Becker,empYear,13110,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2007,Crop Production,Becker,empYear,95,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2007,Animal Production and Aquaculture,Becker,empYear,195,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2007,Food Manufacturing,Becker,empYear,23,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2006,"Total, All Industries",Becker,empYear,13065,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2006,Crop Production,Becker,empYear,131,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2006,Animal Production and Aquaculture,Becker,empYear,197,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2006,Food Manufacturing,Becker,empYear,18,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2005,"Total, All Industries",Becker,empYear,12672,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2005,Crop Production,Becker,empYear,67,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2005,Animal Production and Aquaculture,Becker,empYear,176,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2005,Food Manufacturing,Becker,empYear,21,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2005,Farm Product Raw Material Merchant Wholesalers,Becker,empYear,8,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2004,"Total, All Industries",Becker,empYear,12353,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2004,Crop Production,Becker,empYear,129,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2004,Animal Production and Aquaculture,Becker,empYear,149,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2004,Food Manufacturing,Becker,empYear,24,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2003,"Total, All Industries",Becker,empYear,12069,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2003,Crop Production,Becker,empYear,56,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2003,Animal Production and Aquaculture,Becker,empYear,152,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2003,Food Manufacturing,Becker,empYear,29,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2002,"Total, All Industries",Becker,empYear,12038,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2002,Crop Production,Becker,empYear,30,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2002,Animal Production and Aquaculture,Becker,empYear,187,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2002,Food Manufacturing,Becker,empYear,29,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2001,"Total, All Industries",Becker,empYear,12147,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2001,Crop Production,Becker,empYear,24,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2001,Animal Production and Aquaculture,Becker,empYear,283,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2001,Food Manufacturing,Becker,empYear,36,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
2018,"Total, All Industries",Beltrami,empYear,20018,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2017,"Total, All Industries",Beltrami,empYear,19381,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2017,Food Manufacturing,Beltrami,empYear,6,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2016,"Total, All Industries",Beltrami,empYear,19300,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2016,Food Manufacturing,Beltrami,empYear,14,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2015,"Total, All Industries",Beltrami,empYear,19020,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2015,Food Manufacturing,Beltrami,empYear,34,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2014,"Total, All Industries",Beltrami,empYear,18783,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2014,Food Manufacturing,Beltrami,empYear,21,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2013,"Total, All Industries",Beltrami,empYear,18224,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2013,Food Manufacturing,Beltrami,empYear,29,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2012,"Total, All Industries",Beltrami,empYear,17940,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2012,Animal Production and Aquaculture,Beltrami,empYear,3,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2012,Food Manufacturing,Beltrami,empYear,49,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2011,"Total, All Industries",Beltrami,empYear,17314,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2011,Food Manufacturing,Beltrami,empYear,9,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2010,"Total, All Industries",Beltrami,empYear,17323,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2009,"Total, All Industries",Beltrami,empYear,17417,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2008,"Total, All Industries",Beltrami,empYear,17737,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2008,Food Manufacturing,Beltrami,empYear,21,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2007,"Total, All Industries",Beltrami,empYear,17866,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2007,Food Manufacturing,Beltrami,empYear,33,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2006,"Total, All Industries",Beltrami,empYear,17894,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2005,"Total, All Industries",Beltrami,empYear,17760,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2004,"Total, All Industries",Beltrami,empYear,17647,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2004,Farm Supplies Merchant Wholesalers,Beltrami,empYear,18,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2003,"Total, All Industries",Beltrami,empYear,17469,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
2003,Farm Supplies Merchant Wholesalers,Beltrami,empYear,18,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
