year,edr,farm.cash.receipts,gross.sales
2006,EDR 9 - South Central,1998755000,7916751003
2006,Minnesota,11024820000,275906000000
2007,EDR 1 - Northwest,1030147000,3004145668
2007,EDR 10 - Southeast,2202431000,17751263227
2007,EDR 11 - 7 County Twin Cities,508466000,145089000000
2007,EDR 2 - Headwaters,132240000,1964108712
2007,EDR 3 - Arrowhead,50491000,11538548042
2007,EDR 4 - West Central,1485201000,7145480055
2007,EDR 5 - North Central,514135000,4798138282
2007,EDR 6E- Southwest Central,1092791000,4521632569
2007,EDR 6W- Upper Minnesota Valley,849586000,1540494192
2007,EDR 7E- East Central,164370000,3191155033
2007,EDR 7W- Central,886227000,15603739146
2007,EDR 8 - Southwest,2422297000,4289106849
2007,EDR 9 - South Central,2376306000,7760889166
2007,Minnesota,13714688000,282151000000
2008,EDR 1 - Northwest,1357714000,3232498327
2008,EDR 10 - Southeast,2486481000,18918746271
2008,EDR 11 - 7 County Twin Cities,604024000,149749000000
2008,EDR 2 - Headwaters,144626000,1937646991
2008,EDR 3 - Arrowhead,53237000,11394947343
2008,EDR 4 - West Central,1833901000,8065414046
2008,EDR 5 - North Central,603658000,4699093642
2008,EDR 6E- Southwest Central,1361857000,4656285447
2008,EDR 6W- Upper Minnesota Valley,1026688000,1772047559
2008,EDR 7E- East Central,197490000,3232969095
2008,EDR 7W- Central,1043044000,14124956814
2008,EDR 8 - Southwest,2857067000,5220250027
2008,EDR 9 - South Central,2880402000,8902187920
2008,Minnesota,16450189000,291681000000
2009,EDR 1 - Northwest,973919000,2679004623
2009,EDR 10 - Southeast,2171533000,16829945772
2009,EDR 11 - 7 County Twin Cities,566848000,139037000000
2009,EDR 2 - Headwaters,129286000,1856105559
2009,EDR 3 - Arrowhead,47913000,10264517339
2009,EDR 4 - West Central,1562578000,6870659362
2009,EDR 5 - North Central,525659000,4335428119
2009,EDR 6E- Southwest Central,1185481000,4217660864
2009,EDR 6W- Upper Minnesota Valley,989778000,1642536560
2009,EDR 7E- East Central,177107000,2884046314
2009,EDR 7W- Central,884791000,13344884539
2009,EDR 8 - Southwest,2607546000,5013489223
2009,EDR 9 - South Central,2548376000,9568719057
2009,Minnesota,14370815000,266666000000
2010,EDR 1 - Northwest,1089074000,2798540119
2010,EDR 10 - Southeast,2521555000,17682949321
2010,EDR 11 - 7 County Twin Cities,620507000,143144000000
2010,EDR 2 - Headwaters,153804000,2008089003
2010,EDR 3 - Arrowhead,69245000,10848647764
2010,EDR 4 - West Central,1818190000,7515832117
2010,EDR 5 - North Central,625340000,4778214233
2010,EDR 6E- Southwest Central,1298544000,4250234290
2010,EDR 6W- Upper Minnesota Valley,1086179000,1868068625
2010,EDR 7E- East Central,209542000,3094410460
2010,EDR 7W- Central,996422000,13810774541
2010,EDR 8 - Southwest,2902521000,5562396785
2010,EDR 9 - South Central,2788756000,10149169738
2010,Minnesota,16179679000,279159000000
2011,EDR 1 - Northwest,1311535000,3166547699
2011,EDR 10 - Southeast,3042359000,19624508578
2011,EDR 11 - 7 County Twin Cities,688918000,150056000000
2011,EDR 2 - Headwaters,183488000,2168426627
2011,EDR 3 - Arrowhead,68250000,11926046990
2011,EDR 4 - West Central,2026439000,8526599487
2011,EDR 5 - North Central,722831000,5086927073
2011,EDR 6E- Southwest Central,1370168000,4900749633
2011,EDR 6W- Upper Minnesota Valley,1195975000,2078416559
2011,EDR 7E- East Central,229671000,3293271307
2011,EDR 7W- Central,1130313000,15486448544
2011,EDR 8 - Southwest,3263265000,7235850747
2011,EDR 9 - South Central,3253618000,11713945154
2011,Minnesota,18486830000,299803000000
2012,EDR 1 - Northwest,1657283000,3399689941
2012,EDR 10 - Southeast,3469589000,20727698046
2012,EDR 11 - 7 County Twin Cities,752001000,154237000000
2012,EDR 2 - Headwaters,229595000,2267012266
2012,EDR 3 - Arrowhead,68734000,11977179532
2012,EDR 4 - West Central,2744027000,9210879946
2012,EDR 5 - North Central,802927000,5367607176
2012,EDR 6E- Southwest Central,1720265000,5162217979
2012,EDR 6W- Upper Minnesota Valley,1473570000,2114700999
2012,EDR 7E- East Central,274224000,3448140796
2012,EDR 7W- Central,1316451000,15900293436
2012,EDR 8 - Southwest,3517325000,7420854752
2012,EDR 9 - South Central,3616758000,12111162183
2012,Minnesota,21642749000,312838000000
2013,EDR 1 - Northwest,1908289000,3656464365
2013,EDR 10 - Southeast,3076370000,21373988961
2013,EDR 11 - 7 County Twin Cities,741914000,162316000000
2013,EDR 2 - Headwaters,243561000,2531429869
2013,EDR 3 - Arrowhead,71624000,12493755550
2013,EDR 4 - West Central,2771389000,9914143157
2013,EDR 5 - North Central,741718000,5482288232
2013,EDR 6E- Southwest Central,1785212000,5411444560
2013,EDR 6W- Upper Minnesota Valley,1641927000,2043624602
2013,EDR 7E- East Central,264067000,3737699005
2013,EDR 7W- Central,1256955000,16500673211
2013,EDR 8 - Southwest,3962901000,7519055689
2013,EDR 9 - South Central,3809972000,12243939111
2013,Minnesota,22275899000,333550000000
2014,EDR 1 - Northwest,1419803000,3592613105
2014,EDR 10 - Southeast,3009737000,21352339257
2014,EDR 11 - 7 County Twin Cities,653843000,170710000000
2014,EDR 2 - Headwaters,201143000,2695214698
2014,EDR 3 - Arrowhead,73360000,13109083136
2014,EDR 4 - West Central,2338023000,9708358686
2014,EDR 5 - North Central,817620000,5875112440
2014,EDR 6E- Southwest Central,1568601000,5591588778
2014,EDR 6W- Upper Minnesota Valley,1352124000,1865784678
2014,EDR 7E- East Central,251925000,3846424122
2014,EDR 7W- Central,1323030000,17314449085
2014,EDR 8 - Southwest,3693012000,7415080422
2014,EDR 9 - South Central,3497246000,12033028839
2014,Minnesota,20199467000,348161000000
2015,EDR 1 - Northwest,1160401000,3148104561
2015,EDR 10 - Southeast,2381949000,21215205665
2015,EDR 11 - 7 County Twin Cities,616534000,171278000000
2015,EDR 2 - Headwaters,158056000,2652417845
2015,EDR 3 - Arrowhead,63064000,12375721372
2015,EDR 4 - West Central,1938421000,9187418948
2015,EDR 5 - North Central,743368000,6030484056
2015,EDR 6E- Southwest Central,1456853000,5163274237
2015,EDR 6W- Upper Minnesota Valley,1091105000,1742982517
2015,EDR 7E- East Central,266345000,3837008929
2015,EDR 7W- Central,1186976000,17337545325
2015,EDR 8 - Southwest,3015456000,6464132657
2015,EDR 9 - South Central,2889695000,11637093206
2015,Minnesota,16968223000,345205000000
2016,EDR 1 - Northwest,1351596000,2936797092
2016,EDR 10 - Southeast,2385952000,20830454035
2016,EDR 11 - 7 County Twin Cities,629692000,172414000000
2016,EDR 2 - Headwaters,178555000,2642383977
2016,EDR 3 - Arrowhead,59856000,12063557674
2016,EDR 4 - West Central,2140861000,8812226824
2016,EDR 5 - North Central,709153000,5972560697
2016,EDR 6E- Southwest Central,1485347000,5217981070
2016,EDR 6W- Upper Minnesota Valley,1196112000,1717504952
2016,EDR 7E- East Central,287808000,3833310894
2016,EDR 7W- Central,1185403000,17301560822
2016,EDR 8 - Southwest,3043312000,6287510822
2016,EDR 9 - South Central,2909988000,11403523003
2016,Minnesota,17563635000,344363000000
2017,EDR 1 - Northwest,1371839000,2899665013
2017,EDR 10 - Southeast,2476654000,21882746985
2017,EDR 11 - 7 County Twin Cities,627921000,179226000000
2017,EDR 2 - Headwaters,179509000,2826226739
2017,EDR 3 - Arrowhead,62865000,11533215479
2017,EDR 4 - West Central,2110269000,9240590026
2017,EDR 5 - North Central,704040000,6107969151
2017,EDR 6E- Southwest Central,1458203000,5510039573
2017,EDR 6W- Upper Minnesota Valley,1114454000,1747432324
2017,EDR 7E- East Central,280580000,3912598853
2017,EDR 7W- Central,1190330000,18298769107
2017,EDR 8 - Southwest,3122194000,6881815802
2017,EDR 9 - South Central,3034801000,10818681056
2017,Minnesota,17733659000,360408000000
